,DATE,PER,LOC,ORG,Mean
lug,0.9266641,0.85882866,0.9639919,0.9486549,0.92453486
luo,0.8801278,0.8616938,0.93889284,0.95127964,0.9079985
kin,0.90093565,0.86136466,0.89933157,0.9472213,0.9022133
twi,0.87799406,0.85460186,0.93036425,0.94493806,0.90197456
nya,0.90207946,0.8561456,0.89330673,0.9455036,0.89925885
swa,0.8713289,0.85695755,0.9484884,0.9194958,0.8990677
tsn,0.8796512,0.8626019,0.9147316,0.9289912,0.89649403
zul,0.9002272,0.85217917,0.88881123,0.94414604,0.89634097
sna,0.8600949,0.84817636,0.91614753,0.95165277,0.8940179
wol,0.87671334,0.8527875,0.90037346,0.9393115,0.89229643
mos,0.88223314,0.8542523,0.88765264,0.9343686,0.8896267
bam,0.8826556,0.8512132,0.90135837,0.91034055,0.88639194
xho,0.87518394,0.8626837,0.8609486,0.93903184,0.884462
ewe,0.8468425,0.8256829,0.902402,0.9388304,0.8784394
yor,0.8505372,0.84393406,0.8759443,0.91117084,0.8703966
ibo,0.8454715,0.8583718,0.87161076,0.897619,0.8682683
bbj,0.80611634,0.8599868,0.87002796,0.91913164,0.86381567
pcm,0.8814497,0.8075533,0.81921196,0.91950953,0.8569311
fon,0.8891777,0.8589651,0.74482906,0.93059933,0.8558928
hau,0.648838,0.8437381,0.63601935,0.72794014,0.71413386
