,PER,LOC,DATE,ORG
bam,0.8790615797042847,0.8292819857597351,0.8354638814926147,0.7524566650390625
bbj,0.8921800851821899,0.6153746843338013,0.7120276093482971,0.8394925594329834
ewe,0.8614627718925476,0.8471015691757202,0.6041260361671448,0.8727560639381409
fon,0.8741374611854553,0.7922332286834717,0.7668240666389465,0.8734039068222046
hau,0.880617618560791,0.7236945033073425,0.899143397808075,0.8814219236373901
ibo,0.9071474075317383,0.7487426996231079,0.903948187828064,0.9005290865898132
kin,0.8830411434173584,0.8732660412788391,0.9057196974754333,0.922278881072998
lug,0.8767167329788208,0.9227293133735657,0.9295156598091125,0.8945375680923462
luo,0.8721108436584473,0.9062201976776123,0.8738828897476196,0.8929690718650818
mos,0.8726271390914917,0.7788993716239929,0.6957768201828003,0.8338702321052551
nya,0.9221092462539673,0.7818964123725891,0.8662595748901367,0.9121173620223999
pcm,0.9023039937019348,0.881012499332428,0.5939372777938843,0.83283931016922
sna,0.8713446259498596,0.765114963054657,0.906907856464386,0.8791834115982056
swa,0.8956338167190552,0.9062854051589966,0.8041858077049255,0.8208642601966858
tsn,0.8738694787025452,0.8516215085983276,0.9021422863006592,0.8791542053222656
twi,0.9162305593490601,0.911332905292511,0.8246381282806396,0.9225413203239441
wol,0.8979876637458801,0.70741206407547,0.8863205313682556,0.8553798794746399
xho,0.8293078541755676,0.6948084831237793,0.8184775114059448,0.8692495226860046
yor,0.7594581842422485,0.6262830495834351,0.747768759727478,0.796951413154602
zul,0.8178818225860596,0.8281787633895874,0.8899962902069092,0.8942450284957886
