,PER,DATE,ORG,LOC,Mean
twi,0.9186703562736511,,0.9879180788993835,0.974226713180542,0.9775402051097942
bam,,,0.9772251844406128,0.9752224087715149,0.9762237966060638
nya,,,0.9759982824325562,0.9758455753326416,0.9759219288825989
mos,0.9117493033409119,,0.982451856136322,,0.9748765826225281
fon,0.9082108736038208,,0.9833502769470215,0.9735481142997742,0.974473441546818
tsn,,,0.9740450382232666,0.9702461957931519,0.9721456170082092
zul,,,,0.9719676375389099,0.9719676375389099
ibo,,,0.9756178259849548,0.9682152271270752,0.971916526556015
sna,0.9099932909011841,,,0.9768375754356384,0.9696756878069469
ewe,0.9167748689651489,,0.9753073453903198,,0.9690360086304801
bbj,,,0.9800257086753845,0.9549464583396912,0.9674860835075378
yor,,,0.978911280632019,0.9546113014221191,0.9667612910270691
wol,0.9117625951766968,,0.9723821878433228,0.9675043225288391,0.9666500102798894
kin,0.88529372215271,,0.96977698802948,0.9686485528945923,0.9644626356520742
xho,0.9006478190422058,,,0.9677565693855286,0.9605663461344582
hau,0.9063754677772522,,0.9774371981620789,0.9492998123168945,0.9601424842510583
lug,0.9045952558517456,,0.9661616086959839,,0.9595652137483869
luo,0.9146818518638611,,0.9644318222999573,,0.9591014683246613
pcm,0.8943178653717041,,,0.9658278822898865,0.9581660947629383
swa,0.9066885709762573,,0.9212527275085449,0.9549469947814941,0.9363218635882972
