Language,Cosine_Similarity
lug,0.96721756
kin,0.9632336
xho,0.96199745
zul,0.9600814
nya,0.9300682
sna,0.9248614
luo,0.9089035
tsn,0.9037071
hau,0.88333595
wol,0.8730668
ibo,0.8574531
ewe,0.84861004
twi,0.84602106
bam,0.8418183
mos,0.8189363
swa,0.77605796
pcm,0.74566853
fon,0.7206802
yor,0.7150775
bbj,0.68742895
