layer,model,rank_type,language,swd_mean
1,mbert,top5,kin,0.011671272755620521
1,mbert,top5,lug,0.012218612641618165
1,mbert,top5,nya,0.012716585317321005
1,mbert,top5,twi,0.012806944329213366
1,mbert,top5,tsn,0.013125461116032966
1,mbert,worst5,yor,0.019666598150934078
1,mbert,worst5,bbj,0.018071877375405165
1,mbert,worst5,bam,0.01679185790203519
1,mbert,worst5,mos,0.01665521751806409
1,mbert,worst5,fon,0.01621735275239189
2,mbert,top5,kin,0.011746655625302083
2,mbert,top5,lug,0.012112587410001652
2,mbert,top5,twi,0.012208524024572398
2,mbert,top5,luo,0.0126313881439728
2,mbert,top5,nya,0.012737968068677219
2,mbert,worst5,yor,0.018668618249421343
2,mbert,worst5,bbj,0.016833634407021236
2,mbert,worst5,bam,0.016470466110149573
2,mbert,worst5,fon,0.015510366199123382
2,mbert,worst5,ewe,0.015214969520229715
3,mbert,top5,lug,0.010241696298180614
3,mbert,top5,kin,0.010275845984551779
3,mbert,top5,nya,0.010834955523591816
3,mbert,top5,twi,0.010962918686345802
3,mbert,top5,luo,0.011161268302885219
3,mbert,worst5,yor,0.016072911279707114
3,mbert,worst5,bbj,0.015097680444114303
3,mbert,worst5,bam,0.014289752885474627
3,mbert,worst5,mos,0.013979785537003409
3,mbert,worst5,fon,0.013704480948263154
4,mbert,top5,lug,0.009616907512850048
4,mbert,top5,twi,0.009825314396266549
4,mbert,top5,nya,0.009968481293753939
4,mbert,top5,kin,0.010245938540037969
4,mbert,top5,ibo,0.010412228299514936
4,mbert,worst5,yor,0.014847568114646492
4,mbert,worst5,bbj,0.013757698699237153
4,mbert,worst5,ewe,0.013102434632628501
4,mbert,worst5,pcm,0.012415851526839106
4,mbert,worst5,mos,0.012358143463416127
5,mbert,top5,twi,0.008687194859362535
5,mbert,top5,kin,0.00879750969147608
5,mbert,top5,nya,0.008930575269573637
5,mbert,top5,luo,0.00910192101366647
5,mbert,top5,tsn,0.009517331641518467
5,mbert,worst5,yor,0.013291498402622892
5,mbert,worst5,bbj,0.012092419032910584
5,mbert,worst5,ewe,0.01204050685942093
5,mbert,worst5,bam,0.011873286065451794
5,mbert,worst5,mos,0.01146791382734591
6,mbert,top5,twi,0.00762210137133934
6,mbert,top5,kin,0.007772061156401833
6,mbert,top5,luo,0.008101343308680953
6,mbert,top5,tsn,0.008704736027993931
6,mbert,top5,ibo,0.008741112566326592
6,mbert,worst5,yor,0.012874673119540603
6,mbert,worst5,pcm,0.011247409589600466
6,mbert,worst5,bbj,0.011121559075377263
6,mbert,worst5,fon,0.010766995967401272
6,mbert,worst5,mos,0.010634281400029977
7,mbert,top5,twi,0.008831601423480606
7,mbert,top5,kin,0.009046062467859883
7,mbert,top5,luo,0.009594280377768882
7,mbert,top5,tsn,0.01005346673537133
7,mbert,top5,lug,0.010244743350540375
7,mbert,worst5,yor,0.01490804064292206
7,mbert,worst5,bbj,0.01234010788471096
7,mbert,worst5,ewe,0.012313802713151745
7,mbert,worst5,xho,0.012070818202460032
7,mbert,worst5,pcm,0.012053230071842336
8,mbert,top5,twi,0.007961481281502833
8,mbert,top5,kin,0.009369369236689332
8,mbert,top5,luo,0.009596045550400353
8,mbert,top5,swa,0.009768460874814386
8,mbert,top5,ewe,0.009813048337188471
8,mbert,worst5,yor,0.01449864440686118
8,mbert,worst5,xho,0.013538820047263775
8,mbert,worst5,bbj,0.012396685165185772
8,mbert,worst5,wol,0.011986240952713464
8,mbert,worst5,sna,0.011829829440709242
9,mbert,top5,twi,0.007374701575220873
9,mbert,top5,luo,0.008258594537437602
9,mbert,top5,kin,0.008306329415972868
9,mbert,top5,ewe,0.009018140807408296
9,mbert,top5,tsn,0.009033475061793675
9,mbert,worst5,yor,0.012481207637695965
9,mbert,worst5,xho,0.011416909579262816
9,mbert,worst5,bam,0.010924333820184984
9,mbert,worst5,bbj,0.010802558662059406
9,mbert,worst5,hau,0.010737288608955472
10,mbert,top5,twi,0.00774661883118218
10,mbert,top5,ewe,0.008506311745046938
10,mbert,top5,pcm,0.008618869329438894
10,mbert,top5,kin,0.008773507701486475
10,mbert,top5,zul,0.0090197611931823
10,mbert,worst5,yor,0.012504644826549338
10,mbert,worst5,xho,0.01177904801807017
10,mbert,worst5,bam,0.01037123454959025
10,mbert,worst5,bbj,0.010271546324171746
10,mbert,worst5,hau,0.009923967107473194
11,mbert,top5,twi,0.008550494107718501
11,mbert,top5,kin,0.008909090281728519
11,mbert,top5,nya,0.009164508571302576
11,mbert,top5,ewe,0.009266137054510182
11,mbert,top5,lug,0.009270848621175295
11,mbert,worst5,yor,0.011503673810542145
11,mbert,worst5,bbj,0.01114073195109692
11,mbert,worst5,xho,0.011110062845091306
11,mbert,worst5,swa,0.010286997427253178
11,mbert,worst5,mos,0.010226873204980317
12,mbert,top5,twi,0.015372664546703163
12,mbert,top5,nya,0.01604668608706561
12,mbert,top5,pcm,0.01615499027381399
12,mbert,top5,ewe,0.016242159983145637
12,mbert,top5,swa,0.01665165107200058
12,mbert,worst5,yor,0.024702075913410226
12,mbert,worst5,xho,0.019312225422557578
12,mbert,worst5,bbj,0.018725865168865614
12,mbert,worst5,bam,0.018446536749252118
12,mbert,worst5,hau,0.018379763773130737
