,ORG,LOC,PER,DATE
bam,0.9217603802680969,,,
bbj,0.9417281746864319,0.8427301049232483,,
ewe,0.942317008972168,,0.9496637582778931,
fon,,,0.9431483745574951,
hau,0.9687203764915466,,0.9686554670333862,
ibo,0.9577776789665222,0.938897967338562,,
kin,0.9447160363197327,,,
lug,0.9661840200424194,,0.9391214847564697,
luo,0.9436248540878296,,0.9496415257453918,
mos,0.9572946429252625,,0.9441539645195007,
nya,0.9571662545204163,,,
pcm,,0.9266331791877747,0.9491698145866394,
sna,,0.9313840270042419,0.9557846188545227,
swa,,,0.9564476609230042,
tsn,0.9461010694503784,0.9298260807991028,,
twi,,,0.9676562547683716,
wol,0.944739818572998,,,
xho,,0.9142754673957825,0.9270449876785278,
yor,0.9378713965415955,0.8561354875564575,,
zul,,0.915932297706604,,
