,ORG,DATE,LOC,PER,Mean
nya,0.9243691031323696,0.9047693264402785,0.8976930422966823,0.7917844422528487,0.8796539785305448
sna,0.9127580770884357,0.9516904666386803,0.8688417610734303,0.7832304697836927,0.8791301936460598
luo,0.9188289382504871,0.9113883816310436,0.9269921869311152,0.758777676957555,0.8789967959425503
kin,0.9181266294405999,0.9277871341768865,0.9147095388074159,0.7453719114545798,0.8764988034698705
twi,0.9367971034298326,0.9025147475740558,0.8966492246623943,0.7679145732941759,0.8759689122401146
zul,0.9074123376778627,0.9225631833199196,0.8875082526179784,0.7861300704692271,0.875903461021247
ibo,0.882361388561028,0.950539826677013,0.8726919412589231,0.7923614210266441,0.8744886443809021
lug,0.9078085809893035,0.9104717380867989,0.8971542055145195,0.7595252669802813,0.8687399478927259
xho,0.8961003663837572,0.9500111808727311,0.8476774047553701,0.7683243386619666,0.8655283226684563
hau,0.8957409537192869,0.9075792511241675,0.8480098122776366,0.7832978322571719,0.8586569623445657
wol,0.9077275384700311,0.8864409369974853,0.8377491327589348,0.7763634569375206,0.8520702662909929
mos,0.892602278716675,0.8679161654361742,0.8676820372601027,0.7725043236572935,0.8501762012675613
tsn,0.8745768494703461,0.9290111625733513,0.8095585106557973,0.7559834733608978,0.8422824990150981
swa,0.8917565269810137,0.8642271909181156,0.8855153446807766,0.7265865481414795,0.8420214026803464
bam,0.8068586076209494,0.8720099231186683,0.8734845647037915,0.7697742961894801,0.8305318479082223
fon,0.8842253186065778,0.8195300372933656,0.8266763303970907,0.7461019581066431,0.8191334111009193
ewe,0.9040245395255896,0.7314805564834261,0.8289924367046929,0.7548601978148496,0.8048394326321395
yor,0.8981749111126998,0.8462670821519171,0.7472650159809286,0.7253504859850096,0.8042643738076388
pcm,0.8393935222718425,0.7123056792691154,0.8479622095803094,0.7508921040962849,0.787638378804388
bbj,0.8328286433753805,0.7718243186752923,0.6892802743077256,0.7619671096983722,0.7639750865141928
