,LOC,ORG,DATE,PER
bam,0.9993375539779663,0.9994933009147644,0.999424397945404,0.9993805289268494
bbj,0.9991239905357361,0.9992295503616333,0.9987748861312866,0.999183177947998
ewe,0.999468982219696,0.999427318572998,0.9992722868919373,0.9993398189544678
fon,0.9994954466819763,0.9994789958000183,0.9977396726608276,0.9987621307373047
hau,0.9997864365577698,0.9996668696403503,0.9994936585426331,0.9995467066764832
ibo,0.9996568560600281,0.9994572401046753,0.9996036887168884,0.9995176196098328
kin,0.9998223781585693,0.9997609257698059,0.9992213845252991,0.9993994832038879
lug,0.9997546672821045,0.9998438358306885,0.9995193481445312,0.9996272325515747
luo,0.9997026324272156,0.9994465112686157,0.999587893486023,0.9992498755455017
mos,0.9995822906494141,0.9996299147605896,0.9991356730461121,0.9993910193443298
nya,0.9998074769973755,0.9997976422309875,0.9993119835853577,0.9996793866157532
pcm,0.9991118311882019,0.9987695217132568,0.9988141059875488,0.9989339709281921
sna,0.9997028708457947,0.9998265504837036,0.998876690864563,0.9994129538536072
swa,0.9996690154075623,0.9995802044868469,0.9993326663970947,0.9993550181388855
tsn,0.999638020992279,0.9995648860931396,0.9996044039726257,0.999512255191803
twi,0.9994966387748718,0.9996117353439331,0.9993441700935364,0.9995617866516113
wol,0.9995157718658447,0.9995571970939636,0.9995201230049133,0.9992806315422058
xho,0.9997687339782715,0.9997539520263672,0.9998301863670349,0.999211847782135
yor,0.9988211989402771,0.9989831447601318,0.9982209801673889,0.9989941120147705
zul,0.9996219277381897,0.9998037219047546,0.9996027946472168,0.9995967745780945
