Language,Cosine_Similarity
lug,0.9636127
twi,0.93994766
kin,0.9384211
swa,0.9341979
ewe,0.92704046
luo,0.9241643
bam,0.9173276
ibo,0.91193366
pcm,0.9111677
nya,0.9097727
tsn,0.90560365
mos,0.8706574
hau,0.86971736
zul,0.8635774
sna,0.8587845
wol,0.84939665
xho,0.8470887
fon,0.8324493
bbj,0.81240845
yor,0.7095338
