,ORG,LOC,DATE,PER,Mean
swa,0.99968547,0.999531,0.9983443,0.99991,0.9993677
sna,0.9999527,0.9990935,0.9982366,0.99976575,0.9992621
pcm,0.9998573,0.99894917,0.9982299,0.99986094,0.99922436
zul,0.9990567,0.99939865,0.9996363,0.99866617,0.9991895
hau,0.9998345,0.9991817,0.99742573,0.9999154,0.9990893
xho,0.99781543,0.99975675,0.99962,0.9991265,0.99907964
lug,0.9996904,0.9992796,0.99735385,0.9999849,0.9990772
ewe,0.99987054,0.9990927,0.99721473,0.9999149,0.9990232
tsn,0.999276,0.9995613,0.997521,0.9996859,0.99901104
kin,0.99991363,0.999308,0.9962572,0.9999282,0.9988517
yor,0.9996204,0.9989726,0.9972855,0.9991352,0.9987534
bbj,0.9996101,0.99901867,0.996041,0.9999008,0.9986427
wol,0.9996447,0.99973935,0.995293,0.9998938,0.9986427
twi,0.99992263,0.9987091,0.99627143,0.9995823,0.99862134
ibo,0.9998463,0.99908555,0.9952338,0.99994767,0.99852836
mos,0.9998045,0.998308,0.9958846,0.9999233,0.9984801
bam,0.9987222,0.99853295,0.9965914,0.99990207,0.9984371
nya,0.99992365,0.99890757,0.9964829,0.998433,0.9984368
luo,0.9999146,0.998828,0.9948894,0.99995106,0.99839574
fon,0.99949306,0.99844927,0.9951035,0.9997519,0.99819946
