,PER,LOC,ORG,DATE,Mean
lug,0.9784478,0.97416556,0.96751106,0.9265963,0.9616802
kin,0.95486885,0.9468368,0.9477798,0.9209109,0.94259906
nya,0.9473933,0.90848553,0.9249402,0.8969465,0.91944134
xho,0.88794154,0.9155693,0.9255893,0.93312645,0.91555667
sna,0.89960635,0.91712385,0.91904604,0.9225014,0.91456944
luo,0.9444054,0.90939444,0.9064772,0.86642617,0.9066758
zul,0.9178909,0.89398366,0.89898574,0.86300904,0.8934673
tsn,0.9299166,0.8521676,0.913563,0.8722366,0.891971
wol,0.9095471,0.8728236,0.90011346,0.8330635,0.87888694
twi,0.9329356,0.84914553,0.8735323,0.82464707,0.8700651
hau,0.8900038,0.84915364,0.86427194,0.8732272,0.8691641
ibo,0.8841679,0.8771399,0.83783937,0.8649137,0.86601526
bam,0.88491344,0.8605478,0.8409997,0.852806,0.8598168
swa,0.91872907,0.84021074,0.8403288,0.8275186,0.8566967
mos,0.8503015,0.813985,0.8608496,0.79461396,0.82993746
ewe,0.86076236,0.8097733,0.84749615,0.77117765,0.82230234
pcm,0.8938117,0.7825012,0.81648964,0.7083552,0.80028945
fon,0.8376068,0.78872645,0.81414056,0.70326877,0.78593564
yor,0.76572925,0.7329939,0.71401954,0.7418449,0.7386469
bbj,0.80480313,0.69176877,0.72727823,0.6913065,0.7287892
