,LOC,ORG,PER,DATE,Mean
kin,0.5886991,0.59578615,0.45539713,0.56111413,0.5502491
lug,0.61663735,0.603624,0.43360877,0.5294657,0.54583395
luo,0.58344007,0.6155278,0.44290856,0.53712225,0.5447497
ibo,0.53637344,0.599669,0.43595415,0.5800656,0.5380155
swa,0.5744778,0.6159537,0.44453874,0.51578844,0.5376897
twi,0.56017125,0.6150751,0.44397286,0.52785045,0.5367674
tsn,0.4845444,0.6135657,0.45300984,0.54736507,0.52462125
nya,0.5127803,0.60921687,0.43638352,0.5191927,0.5193933
sna,0.48334402,0.5886033,0.39329875,0.60694844,0.51804864
xho,0.44726178,0.5323173,0.4500126,0.62844473,0.5145091
wol,0.47221625,0.58643126,0.45017183,0.5433488,0.51304203
hau,0.46062264,0.5654526,0.4356926,0.5630028,0.5061927
zul,0.4929289,0.5672182,0.41202047,0.5505369,0.5056761
ewe,0.5625125,0.5946974,0.4287793,0.43445355,0.5051107
fon,0.4822544,0.5812165,0.44148213,0.5141995,0.5047881
bam,0.5404264,0.54474473,0.42743856,0.50358796,0.5040494
pcm,0.5514538,0.5856056,0.44410825,0.41147873,0.4981616
mos,0.48132128,0.583116,0.4288537,0.4438702,0.48429027
bbj,0.40450343,0.5403832,0.4463497,0.45613357,0.4618425
yor,0.3837632,0.49848247,0.3942093,0.494766,0.44280523
