,ORG,PER,LOC,DATE,Mean
hau,0.9992901086807251,0.9996157288551331,,,0.9994529187679291
pcm,,0.9992322325706482,0.9994943141937256,,0.9993632733821869
tsn,0.9995962977409363,,0.9982473850250244,,0.9989218413829803
luo,0.9987326264381409,0.9988962411880493,,,0.9988144338130951
kin,0.9987556338310242,,,,0.9987556338310242
ibo,0.9995051622390747,,0.9977925419807434,,0.9986488521099091
wol,0.9984888434410095,,,,0.9984888434410095
sna,,0.9967837333679199,0.9989059567451477,,0.9978448450565338
twi,,0.9974460601806641,,,0.9974460601806641
mos,0.996545135974884,0.9977976679801941,,,0.9971714019775391
nya,0.9969700574874878,,,,0.9969700574874878
lug,0.9961257576942444,0.9975766539573669,,,0.9968512058258057
bbj,0.9966157674789429,,,,0.9966157674789429
yor,0.998755693435669,,0.994257926940918,,0.9965068101882935
swa,,0.9960118532180786,,,0.9960118532180786
ewe,0.994218111038208,0.9902681112289429,,,0.9922431111335754
bam,0.9914712905883789,,,,0.9914712905883789
xho,,0.9933236837387085,0.9895558953285217,,0.9914397895336151
zul,,,0.9895451664924622,,0.9895451664924622
fon,,0.9754304885864258,,,0.9754304885864258
