,DATE,LOC,PER,ORG
bam,,0.9813265800476074,0.8949991464614868,0.9696084260940552
bbj,,0.970366358757019,0.9223707914352417,0.984312891960144
ewe,,0.9771136045455933,0.9268630146980286,0.9823264479637146
fon,,0.9792678952217102,0.9155620336532593,0.9821091890335083
hau,,0.9569497108459473,0.9214658737182617,0.9792305827140808
ibo,,0.9774375557899475,,0.9851621985435486
kin,,0.9759300351142883,0.9082067012786865,0.9639680981636047
lug,,,0.9007851481437683,0.9709063172340393
luo,,,0.9376879930496216,0.9644933342933655
mos,,0.978289783000946,0.9088985323905945,0.9817866683006287
nya,,0.9716620445251465,0.923072338104248,0.9792990684509277
pcm,,0.98366379737854,0.9315348267555237,0.9658195972442627
sna,,0.9849611520767212,0.9273990392684937,0.9722023606300354
swa,,0.9741576313972473,0.9174069762229919,0.9601007699966431
tsn,,0.974783718585968,,0.9790759086608887
twi,,0.9746184945106506,0.9285706877708435,0.9897602796554565
wol,,0.9722031354904175,0.9169983863830566,0.9678382277488708
xho,,0.9770625829696655,0.9091885089874268,0.9707942605018616
yor,,0.9599170088768005,,0.976376473903656
zul,,0.9746659994125366,0.910589337348938,0.9780672788619995
