,DATE,LOC,PER,ORG,Mean
hau,0.99579036,0.99950004,0.9996307,0.99954146,0.9986157
tsn,0.9939591,0.9996532,0.99910253,0.9998554,0.9981426
ewe,0.9934728,0.9992873,0.9995513,0.9997316,0.99801075
bam,0.9941721,0.99836487,0.9992584,0.99937344,0.99779224
xho,0.998714,0.99885476,0.9956498,0.9976314,0.9977125
lug,0.9913393,0.99902534,0.9999813,0.9998946,0.99756014
swa,0.99203336,0.9986865,0.9997023,0.99977,0.997548
yor,0.9929585,0.9989135,0.998791,0.999442,0.9975263
sna,0.993194,0.9992238,0.99740773,0.9998667,0.99742305
wol,0.9899956,0.9997084,0.9997241,0.9997466,0.99729365
mos,0.98989445,0.9990743,0.99981064,0.9996863,0.9971164
pcm,0.989703,0.99935323,0.9996365,0.9997523,0.99711126
luo,0.98993105,0.99861985,0.9998848,0.99980485,0.9970602
kin,0.9883619,0.9993297,0.99989057,0.9998885,0.99686766
twi,0.9889922,0.99880785,0.9997664,0.9996103,0.9967942
nya,0.98919,0.99891746,0.9983032,0.9997959,0.99655163
ibo,0.987047,0.99907804,0.9998011,0.99961287,0.99638474
zul,0.99826664,0.992076,0.9964108,0.99856234,0.99632895
bbj,0.9879559,0.99758255,0.99960166,0.9993584,0.9961246
fon,0.9880062,0.9986298,0.99695474,0.9990899,0.99567014
