,PER,LOC,DATE,ORG,Mean
lug,0.9999739067915584,0.9999862254837583,0.9999873507401555,0.999984892815773,0.9999830939578113
sna,0.9999678932729842,0.9999841140117796,0.9999875999820123,0.9999919921849926,0.9999828998629421
zul,0.9999713792253201,0.9999823725867508,0.9999797933237845,0.9999912166927089,0.9999811904571411
nya,0.9999783102282436,0.9999897041803917,0.9999698789346284,0.9999865222390238,0.9999811038955718
xho,0.9999647957883292,0.9999785613233698,0.9999905068172099,0.9999876928453687,0.9999803891935694
kin,0.9999706934659139,0.9999866226549572,0.9999698336104058,0.9999917240347972,0.9999797184415185
twi,0.9999759919928813,0.9999798749134873,0.999971536842239,0.9999880684271297,0.9999788680439343
hau,0.9999682231355814,0.9999795592536936,0.999978651480932,0.999985707047056,0.9999780352293158
wol,0.9999701346424119,0.9999830946490604,0.9999656179161578,0.999988729709442,0.999976894229268
ibo,0.9999727278012802,0.9999816921702414,0.9999803557721569,0.9999706837724054,0.999976364879021
luo,0.9999680444166102,0.9999856122977985,0.9999718907616837,0.9999776255801045,0.9999757932640492
bam,0.9999672793302553,0.9999731837436612,0.9999685618598072,0.9999862285883453,0.9999738133805173
swa,0.9999704222798195,0.9999783137087084,0.9999680636881951,0.9999779167386943,0.9999736791038543
tsn,0.9999667261406692,0.9999677291248144,0.9999817007303425,0.9999778986722478,0.9999735136670185
mos,0.9999696416317243,0.9999608393936668,0.9999679176823212,0.9999883941692244,0.9999716982192342
ewe,0.9999658267487226,0.9999650580733437,0.9999501548322238,0.9999761713388685,0.9999643027482896
fon,0.9999632120719402,0.9999669242607964,0.9999407362318228,0.9999843810045435,0.9999638133922757
bbj,0.999967068533827,0.9999687432484374,0.9999183151287182,0.9999699519557023,0.9999560197166713
yor,0.9999411389615284,0.999947483566375,0.9999525535574203,0.9999713269636342,0.9999531257622395
pcm,0.9999671069321342,0.9999637300404849,0.9999218689003154,0.9999573001151145,0.9999525014970123
