,ORG,DATE,PER,LOC,Mean
lug,0.99963295,0.99934065,0.99981767,0.99953145,0.9995807
kin,0.9994746,0.9991755,0.99960387,0.99936825,0.9994055
nya,0.9993717,0.99928576,0.99956596,0.99922764,0.9993627
sna,0.99932855,0.99922085,0.99925494,0.99920917,0.9992534
luo,0.9992094,0.9990712,0.9995155,0.9991855,0.9992454
tsn,0.9991954,0.9990556,0.9994369,0.9988181,0.9991265
wol,0.9988731,0.9988046,0.9991336,0.9987499,0.99889034
zul,0.9987788,0.99854434,0.99884844,0.99896836,0.99878496
ibo,0.9983157,0.99855906,0.9988971,0.99893,0.99867547
bam,0.9980344,0.9987265,0.9990721,0.998317,0.9985375
ewe,0.99851364,0.9982331,0.99862754,0.99840826,0.99844563
twi,0.9983817,0.99804145,0.99874765,0.9985122,0.9984208
pcm,0.9984821,0.9975672,0.99912816,0.9983393,0.99837923
xho,0.9982401,0.9970585,0.999193,0.998705,0.9982991
mos,0.9981605,0.9975526,0.99856114,0.9982459,0.99813
hau,0.9977425,0.9966802,0.99890727,0.9982446,0.99789363
yor,0.9978896,0.99773484,0.9980885,0.99766093,0.99784344
swa,0.9976469,0.99745506,0.9986234,0.99669355,0.9976047
bbj,0.99694765,0.99679744,0.9980424,0.9968117,0.99714977
fon,0.9973274,0.996086,0.99762446,0.9963717,0.9968524
