,ORG,LOC,PER,DATE,Mean
ibo,0.9996468424797058,0.9992370009422302,0.9991644024848938,0.9997197985649109,0.9995287182762866
kin,0.9997718930244446,0.9993346333503723,0.9984068274497986,0.9993680715560913,0.9994744506720795
luo,0.9992814064025879,0.9995294809341431,0.9966533780097961,0.9996894001960754,0.9994552656421511
swa,0.9993956685066223,0.9997273683547974,0.9983285665512085,0.9985966086387634,0.9992255304116276
lug,0.9993389844894409,0.9991125464439392,0.998271107673645,0.9988735914230347,0.999095188820456
nya,0.9995437264442444,0.998714804649353,0.997870683670044,0.9989880919456482,0.9990631285614855
tsn,0.9985165596008301,0.9992865920066833,0.9986312985420227,0.9993927478790283,0.999058465162913
bam,0.9990798830986023,0.9987837076187134,0.998382568359375,0.9991418123245239,0.998992049318599
zul,0.9997593760490417,0.9974645972251892,0.9992392063140869,0.9996507167816162,0.9989626548421664
wol,0.9992195963859558,0.9981212615966797,0.9990572929382324,0.9994218349456787,0.9989230456001802
fon,0.999650239944458,0.9979629516601562,0.9981741309165955,0.9988598227500916,0.9988140986347449
sna,0.9994827508926392,0.9966875910758972,0.9984444379806519,0.9993854761123657,0.9985174380262379
hau,0.99956876039505,0.9960421919822693,0.9982869625091553,0.9996665716171265,0.9984236542634138
twi,0.9997421503067017,0.9972277283668518,0.9987547993659973,0.9980164766311646,0.9983354939876266
yor,0.9994558691978455,0.9961954951286316,0.9976227879524231,0.9988278746604919,0.9981512902915635
mos,0.9996931552886963,0.9984345436096191,0.9964922666549683,0.9962452054023743,0.9980986000984673
pcm,0.9991642236709595,0.9983232021331787,0.9988670349121094,0.9952170252799988,0.9975886052361936
xho,0.9995319843292236,0.9932305812835693,0.9991602301597595,0.9995943903923035,0.9974792149123244
bbj,0.9964801073074341,0.9945786595344543,0.9987605214118958,0.9969637393951416,0.9960508567141736
ewe,0.9991945028305054,0.9990121722221375,0.9986218214035034,0.9796805381774902,0.9927234450976054
