,DATE,LOC,PER,ORG
bam,0.9999744892120361,0.9999738931655884,0.9999989867210388,0.9999940395355225
bbj,0.9999964833259583,0.9999791383743286,0.9999978542327881,0.9999971985816956
ewe,0.9999893307685852,0.9999808073043823,0.9999988675117493,0.9999969005584717
fon,0.9999936819076538,0.9999718070030212,0.9999952912330627,0.9999979138374329
hau,0.9999914765357971,0.9999645352363586,0.999996542930603,0.9999948740005493
ibo,0.9999969005584717,0.9999799728393555,0.9999945759773254,0.9999987483024597
kin,0.9999958872795105,0.999997079372406,0.9999926090240479,0.9999986290931702
lug,0.9999937415122986,0.9999898076057434,0.9999992251396179,0.9999929070472717
luo,0.9999972581863403,0.9999905228614807,0.9999974966049194,0.999996542930603
mos,0.9999948143959045,0.9999715089797974,0.9999967217445374,0.999994695186615
nya,0.9999925494194031,0.999975323677063,0.9999994039535522,0.9999948740005493
pcm,0.9999809265136719,0.9999797940254211,0.999998927116394,0.9999913573265076
sna,0.9999927878379822,0.999983549118042,0.9999991655349731,0.9999956488609314
swa,0.999980092048645,0.9999990463256836,0.999995768070221,0.999992847442627
tsn,0.9999939203262329,0.9999881386756897,0.9999964237213135,0.9999940395355225
twi,0.999995768070221,0.9999910593032837,0.9999991059303284,0.9999982118606567
wol,0.9999943971633911,0.9999696612358093,0.9999985694885254,0.9999884963035583
xho,0.9999973773956299,0.999977171421051,0.9999979734420776,0.9999954104423523
yor,0.9999886751174927,0.9999638795852661,0.9999960660934448,0.9999980330467224
zul,0.9999954700469971,0.9999868869781494,0.9999950528144836,0.9999960064888
