,ORG,LOC,PER,DATE,Mean
lug,0.8308923,0.8599665,0.8800898,0.7923046,0.8408133
kin,0.8259876,0.8307141,0.8297622,0.7890789,0.81888574
nya,0.8240173,0.809869,0.8183832,0.7804775,0.80818677
luo,0.8020411,0.816358,0.8128624,0.7818481,0.8032774
sna,0.810779,0.8148241,0.78388107,0.7889715,0.7996139
tsn,0.81138146,0.76750743,0.81535816,0.7786681,0.7932288
wol,0.7837057,0.79637384,0.80065775,0.7667692,0.7868766
zul,0.77633107,0.7772596,0.7833882,0.7508538,0.7719582
xho,0.7553779,0.7657815,0.7760966,0.73943174,0.75917196
ibo,0.7566365,0.7521,0.7720599,0.75022984,0.7577566
twi,0.7644589,0.74380505,0.78444475,0.73474675,0.75686383
bam,0.7411709,0.75360334,0.77602077,0.7512394,0.75550854
ewe,0.7552434,0.7511977,0.77559686,0.73749876,0.7548842
pcm,0.758633,0.7512399,0.79515624,0.7113938,0.75410575
mos,0.7591546,0.7491169,0.7585014,0.72995573,0.7491821
hau,0.74412787,0.73964274,0.77909,0.7035545,0.74160373
swa,0.73440677,0.7236664,0.77906764,0.71471757,0.7379646
yor,0.7385329,0.72675186,0.7413207,0.719224,0.73145735
bbj,0.7049124,0.7083988,0.7503375,0.6961706,0.7149548
fon,0.72055316,0.7087712,0.7380292,0.6894641,0.71420443
