,LOC,PER,DATE,ORG,Mean
luo,,0.9999884366989136,,0.9999952912330627,0.9999945568186897
ewe,,0.9999735951423645,,0.9999968409538269,0.9999943503311702
kin,0.9999913573265076,0.999967098236084,,0.9999982118606567,0.9999932174412709
yor,0.9999900460243225,,,0.9999930262565613,0.9999915361404419
bam,0.9999850392341614,,,0.9999949932098389,0.9999900162220001
lug,,0.999968945980072,,0.9999905228614807,0.9999882110527584
mos,,0.9999759793281555,,0.9999885559082031,0.9999872084174838
tsn,0.9999768733978271,,,0.9999969601631165,0.9999869167804718
sna,0.9999877214431763,0.9999719262123108,,0.9999874830245972,0.9999867149119107
swa,0.9999898672103882,0.9999664425849915,,0.9999849200248718,0.9999862077101221
nya,0.9999757409095764,0.9999750852584839,,0.9999976754188538,0.9999860502638906
wol,0.9999769330024719,0.9999610781669617,,0.9999972581863403,0.9999856229098338
twi,0.9999675154685974,0.9999831318855286,,0.9999956488609314,0.9999816698848076
hau,0.9999809861183167,0.999889612197876,,0.999989926815033,0.9999800313193843
zul,0.99997878074646,0.9999669790267944,,,0.9999775162764958
pcm,0.9999869465827942,0.9996123313903809,,0.9999833703041077,0.9999640550253526
xho,0.9999307990074158,0.9999691843986511,,,0.9999349117279053
ibo,0.9999909400939941,,,0.9998723864555359,0.999931663274765
fon,0.9998777508735657,0.9999640583992004,,0.9999787211418152,0.9999302636902287
bbj,0.9999867081642151,,,0.9998550415039062,0.9999208748340607
