,ORG,PER,LOC,DATE
bam,0.9629650115966797,0.9616351127624512,0.9514183402061462,0.9646928310394287
bbj,0.973028302192688,0.9707664847373962,0.9209049940109253,0.9552085995674133
ewe,0.9816536903381348,0.9800451993942261,0.965976357460022,0.9536359310150146
fon,0.9775766134262085,0.9725239872932434,0.9363316297531128,0.9581575989723206
hau,0.9708446264266968,0.9729387164115906,0.9293938279151917,0.9371864199638367
ibo,0.9852200150489807,0.9729056358337402,0.9495944976806641,0.9765169620513916
kin,0.9858439564704895,0.9755428433418274,0.9735653400421143,0.9644487500190735
lug,0.9612116813659668,0.9933749437332153,0.9724004864692688,0.9595322012901306
luo,0.9765035510063171,0.9767118692398071,0.9644237756729126,0.9727104902267456
mos,0.9777370095252991,0.9738208651542664,0.9458413124084473,0.9467194080352783
nya,0.9850621223449707,0.9793848991394043,0.9629327654838562,0.9618414640426636
pcm,0.9672297835350037,0.9842615127563477,0.9634656310081482,0.9162635803222656
sna,0.9818598031997681,0.9799675345420837,0.9543977379798889,0.9646773338317871
swa,0.9597427248954773,0.9817017912864685,0.9675021171569824,0.9148657321929932
tsn,0.9725900888442993,0.9834033846855164,0.9625884294509888,0.9701756834983826
twi,0.9861018657684326,0.977668285369873,0.9699922204017639,0.968917191028595
wol,0.9737323522567749,0.9688986539840698,0.9524891972541809,0.9699729084968567
xho,0.9696873426437378,0.968338131904602,0.9480383992195129,0.9644589424133301
yor,0.9775529503822327,0.9636797308921814,0.9316868782043457,0.9621669054031372
zul,0.9778391122817993,0.9754831790924072,0.9578498601913452,0.9633119106292725
