,PER,DATE,ORG,LOC,Mean
zul,0.59425825,0.7384541,0.82479507,0.83360666,0.74777853
tsn,0.58419806,0.668052,0.84852123,0.8408675,0.73540974
xho,0.5908193,0.78117883,0.781392,0.77581716,0.7323018
swa,0.5807521,0.6888442,0.8780086,0.74505264,0.7231644
sna,0.5800379,0.67866474,0.91450167,0.7053027,0.7196268
hau,0.57081455,0.67311656,0.89324296,0.7392231,0.7190993
lug,0.5736607,0.6737989,0.9093884,0.70268965,0.7148844
pcm,0.58053535,0.6613575,0.8860494,0.72275555,0.7126744
nya,0.59143984,0.65334755,0.904094,0.70174193,0.71265584
kin,0.57398045,0.651217,0.9131043,0.70692134,0.7113058
ewe,0.5737074,0.6697169,0.8810865,0.7134223,0.70948327
luo,0.57503515,0.64908326,0.8917077,0.7191365,0.70874065
wol,0.57763946,0.6506294,0.8557022,0.7491149,0.7082715
yor,0.5842464,0.66844815,0.8375074,0.730011,0.70505327
mos,0.5736236,0.6547196,0.8701663,0.7045913,0.7007752
ibo,0.5742904,0.6411544,0.89029175,0.6966275,0.70059097
twi,0.5783799,0.6519562,0.86879414,0.7011342,0.70006615
fon,0.58046794,0.64165366,0.8404678,0.70671296,0.6923256
bbj,0.5722691,0.6462389,0.84187007,0.68309134,0.68586737
bam,0.5785163,0.6598841,0.79620975,0.692831,0.6818603
