model,config,layer,layer_mean_cosine_over_languages
mbert,use1_use0_con4_max500_bat32,1,0.9985919601373908
mbert,use1_use0_con4_max500_bat32,2,0.9997727126366585
mbert,use1_use0_con4_max500_bat32,3,0.9999508134110231
mbert,use1_use0_con4_max500_bat32,4,0.9998845417045654
mbert,use1_use0_con4_max500_bat32,5,0.9943843780353436
mbert,use1_use0_con4_max500_bat32,6,0.9870738574529059
mbert,use1_use0_con4_max500_bat32,7,0.9811274756962522
mbert,use1_use0_con4_max500_bat32,8,0.9721133769483968
mbert,use1_use0_con4_max500_bat32,9,0.9756067336288181
mbert,use1_use0_con4_max500_bat32,10,0.9763596510967899
mbert,use1_use0_con4_max500_bat32,11,0.9782195427934142
mbert,use1_use0_con4_max500_bat32,12,0.944693084710047
