layer,model,rank_type,language,pearson
2,mbert,top5,lug,0.9305903626411933
2,mbert,top5,luo,0.9242363179389397
2,mbert,top5,twi,0.9228351336662631
2,mbert,top5,kin,0.9160786895499875
2,mbert,top5,nya,0.9149921869340907
2,mbert,worst5,bbj,0.7738904831943778
2,mbert,worst5,yor,0.7982697530846081
2,mbert,worst5,fon,0.8292803226736926
2,mbert,worst5,bam,0.8568302835122545
2,mbert,worst5,ewe,0.8658834135237992
3,mbert,top5,lug,0.9514431574902928
3,mbert,top5,luo,0.9481515774591124
3,mbert,top5,kin,0.946873959901533
3,mbert,top5,twi,0.9461986894708788
3,mbert,top5,nya,0.9457237822600524
3,mbert,worst5,bbj,0.848739326509663
3,mbert,worst5,yor,0.8660031749307098
3,mbert,worst5,fon,0.8904114853321565
3,mbert,worst5,bam,0.893881871664685
3,mbert,worst5,ewe,0.9023425704479431
10,mbert,top5,lug,0.9877052381856939
10,mbert,top5,luo,0.9842981664371191
10,mbert,top5,twi,0.983928014251278
10,mbert,top5,kin,0.9829420822217076
10,mbert,top5,swa,0.9814693393825221
10,mbert,worst5,bbj,0.9444278898766288
10,mbert,worst5,yor,0.9546322380321638
10,mbert,worst5,pcm,0.9582522958949085
10,mbert,worst5,fon,0.963469230367293
10,mbert,worst5,bam,0.9655333287601056
12,mbert,top5,lug,0.9460370265177672
12,mbert,top5,luo,0.9224042719286389
12,mbert,top5,kin,0.9186892493037939
12,mbert,top5,twi,0.9144869637249955
12,mbert,top5,swa,0.9075450242763595
12,mbert,worst5,bbj,0.8048569082903887
12,mbert,worst5,yor,0.813121937448347
12,mbert,worst5,pcm,0.8333872146977089
12,mbert,worst5,xho,0.8512731063789837
12,mbert,worst5,mos,0.8613959032816793
