,LOC,PER,ORG,DATE,Mean
lug,0.99958014,0.9998532,0.9996654,0.9993223,0.9996053
kin,0.9994202,0.99966794,0.99948025,0.99925876,0.9994568
nya,0.9992882,0.9996496,0.9994533,0.99930656,0.99942446
luo,0.9992738,0.9995639,0.99932575,0.99923015,0.9993484
sna,0.99930096,0.9993308,0.99939305,0.9992591,0.999321
tsn,0.9987828,0.99948984,0.9993297,0.99912,0.9991806
wol,0.99886596,0.9993275,0.999151,0.99886674,0.9990528
zul,0.99886274,0.9991852,0.99885887,0.99871933,0.9989065
ibo,0.99872285,0.998836,0.9985541,0.9985384,0.9986628
bam,0.99827343,0.99890226,0.9981379,0.9987544,0.99851704
ewe,0.9983795,0.9989079,0.9984629,0.9981466,0.99847424
pcm,0.9984128,0.9992087,0.9983983,0.99768955,0.99842733
twi,0.9983497,0.9988466,0.9985487,0.99793357,0.99841964
xho,0.99852365,0.99921066,0.99821854,0.9976253,0.99839455
mos,0.998211,0.9988015,0.9985428,0.9978681,0.99835587
hau,0.9980452,0.9988107,0.9979303,0.9969592,0.99793637
yor,0.99759805,0.9980839,0.9981019,0.9975742,0.99783957
swa,0.9969099,0.99850744,0.9975922,0.99720275,0.9975531
bbj,0.99666625,0.998101,0.9969627,0.99668646,0.9971041
fon,0.996608,0.9978837,0.99740094,0.99626815,0.99704015
