,LOC,DATE,ORG,PER
bam,0.9999727010726929,0.999966561794281,0.9999637603759766,0.9999807476997375
bbj,0.999956488609314,0.9999696612358093,0.9999822378158569,0.9999842643737793
ewe,0.9999632835388184,0.9999731779098511,0.9999846816062927,0.9999862909317017
fon,0.9999630451202393,0.9999630451202393,0.9999825954437256,0.9999786019325256
hau,0.9999354481697083,0.9999609589576721,0.9999653100967407,0.9999817609786987
ibo,0.9999750852584839,0.9999876022338867,0.9999879598617554,0.9999833106994629
kin,0.9999830722808838,0.9999794960021973,0.9999852180480957,0.9999709725379944
lug,0.9999907612800598,0.9999791979789734,0.9999653100967407,0.9999879002571106
luo,0.9999881982803345,0.9999780654907227,0.9999858736991882,0.9999893307685852
mos,0.9999686479568481,0.9999644756317139,0.9999847412109375,0.9999780654907227
nya,0.9999838471412659,0.9999822974205017,0.9999864101409912,0.9999892115592957
pcm,0.9999766945838928,0.9999377131462097,0.9999693632125854,0.9999926686286926
sna,0.9999585151672363,0.9999814629554749,0.9999852776527405,0.9999881982803345
swa,0.999992311000824,0.999950110912323,0.9999717473983765,0.9999855756759644
tsn,0.9999700784683228,0.9999841451644897,0.9999789595603943,0.9999869465827942
twi,0.9999896883964539,0.9999812841415405,0.9999919533729553,0.9999887943267822
wol,0.9999502897262573,0.9999717473983765,0.999975323677063,0.9999855160713196
xho,0.9999417662620544,0.9999868273735046,0.9999822378158569,0.9999729990959167
yor,0.9999507665634155,0.9999722242355347,0.9999867081642151,0.9999805688858032
zul,0.9999610781669617,0.9999848008155823,0.999963641166687,0.9999837279319763
