,DATE,LOC,ORG,PER,Mean
lug,0.77624905,0.7542387,0.81564003,0.87716186,0.8058224
kin,0.7850622,0.76158804,0.8231646,0.8226979,0.7981282
nya,0.7558391,0.7460196,0.8267768,0.83227503,0.79022765
luo,0.7749579,0.7449219,0.7864604,0.82005537,0.7815989
sna,0.77367043,0.7601235,0.79858273,0.78676844,0.7797863
wol,0.7743949,0.7452001,0.77789533,0.8116109,0.7772753
tsn,0.774212,0.7197509,0.78806436,0.8117392,0.7734416
ibo,0.76323414,0.7354092,0.76515794,0.8138515,0.76941323
twi,0.7361743,0.71857363,0.7868377,0.8222225,0.76595205
pcm,0.70409095,0.7405565,0.77601945,0.83023703,0.76272595
ewe,0.7334317,0.72286844,0.7704612,0.8221128,0.76221853
zul,0.74316263,0.73309445,0.7809823,0.7837291,0.7602421
xho,0.7469876,0.73991257,0.7794583,0.76657957,0.7582345
mos,0.7243578,0.728152,0.77297986,0.80318797,0.75716937
swa,0.7179358,0.7245247,0.74938273,0.8142736,0.7515292
bam,0.7300421,0.7297064,0.73748916,0.7993007,0.7491346
hau,0.7091517,0.72537315,0.75808424,0.7956176,0.74705666
yor,0.7311336,0.71075165,0.74678046,0.7642145,0.73822004
fon,0.68773186,0.7085568,0.7508457,0.7989082,0.73651063
bbj,0.701017,0.7034149,0.7176801,0.806018,0.73203254
