,DATE,ORG,LOC,PER,Mean
kin,0.9891695380210876,0.9938859939575195,0.9835326671600342,0.9915172457695007,0.9895263612270355
twi,0.9830355048179626,0.994174599647522,0.9809886813163757,0.9926353096961975,0.9877085238695145
luo,0.986799418926239,0.9887916445732117,0.9785348773002625,0.9889909625053406,0.9857792258262634
ibo,0.9904574155807495,0.992416262626648,0.9645047783851624,0.9931865334510803,0.98514124751091
nya,0.9810140132904053,0.9927420616149902,0.9724718332290649,0.9923536777496338,0.9846453964710236
tsn,0.9890648126602173,0.984279453754425,0.9755286574363708,0.9893480539321899,0.9845552444458008
zul,0.9877215623855591,0.9903115034103394,0.965053379535675,0.9887480139732361,0.9829586148262024
wol,0.9869159460067749,0.990071177482605,0.959195077419281,0.9902896881103516,0.9816179722547531
ewe,0.9702988266944885,0.9913160800933838,0.9727895259857178,0.9920199513435364,0.9816060960292816
lug,0.9768080711364746,0.9648658037185669,0.9829712510108948,0.9970916509628296,0.9804341942071915
sna,0.9853917956352234,0.9858757257461548,0.9595668911933899,0.9907521605491638,0.980396643280983
xho,0.9902465343475342,0.9850070476531982,0.9549140930175781,0.9875712990760803,0.9794347435235977
bam,0.9801859259605408,0.9763826131820679,0.9674919843673706,0.9899507164955139,0.9785028100013733
bbj,0.976005494594574,0.9908490180969238,0.9527159333229065,0.9921103715896606,0.9779202044010162
yor,0.9808031320571899,0.9893239736557007,0.9540201425552368,0.9847110509872437,0.9772145748138428
mos,0.965739369392395,0.9902148246765137,0.9639716148376465,0.9880483746528625,0.9769935458898544
swa,0.9487773776054382,0.9755871295928955,0.9911510348320007,0.9883216023445129,0.9759592860937119
fon,0.9710710644721985,0.9887107014656067,0.9528451561927795,0.9885987639427185,0.9753064215183258
pcm,0.9455298781394958,0.980199933052063,0.9787025451660156,0.9948071241378784,0.9748098701238632
hau,0.969857394695282,0.9776861667633057,0.9212777614593506,0.9895222187042236,0.9645858854055405
