,LOC,ORG,PER,DATE
bam,0.9996435642242432,0.9987926483154297,,
bbj,0.9920352697372437,0.996372401714325,,
ewe,,0.9893251657485962,0.9887797832489014,
fon,0.9985048770904541,0.9882181286811829,0.9877150058746338,
hau,,0.9914358854293823,0.9917475581169128,
ibo,0.9923826456069946,0.9938679933547974,,
kin,0.991789698600769,0.982466459274292,,
lug,,0.9899457693099976,0.9980860948562622,
luo,,0.9858967661857605,0.9990927577018738,
mos,,0.9834001064300537,0.9921994209289551,
nya,0.9975422620773315,0.9898350834846497,,
pcm,0.9979441165924072,,0.998375654220581,
sna,0.9971044063568115,,0.99819016456604,
swa,0.99456387758255,,0.9931990504264832,
tsn,0.9973828196525574,0.973097026348114,,
twi,0.9992806911468506,0.9968759417533875,0.994453489780426,
wol,0.99932461977005,0.9724434018135071,,
xho,0.9956449270248413,,0.9942701458930969,
yor,0.9923054575920105,0.9963452219963074,,
zul,0.9840941429138184,,,
