,ORG,PER,LOC,DATE,Mean
zul,0.9995854,0.9792714,0.99966055,0.9983493,0.9942167
xho,0.99914235,0.9779552,0.9990502,0.99911463,0.99381554
tsn,0.9997316,0.9748994,0.9996878,0.99465525,0.9922435
nya,0.9999201,0.97808105,0.9969497,0.99313813,0.9920222
swa,0.9998517,0.973135,0.99847734,0.9962697,0.99193347
yor,0.999671,0.97492063,0.9980733,0.9947499,0.9918537
sna,0.99993986,0.9727402,0.9971136,0.99555904,0.9913382
pcm,0.9998753,0.97304916,0.99782944,0.9940519,0.99120146
wol,0.9997649,0.9714468,0.9985751,0.9928146,0.9906503
bam,0.99932843,0.9719498,0.9964851,0.9938989,0.9904156
twi,0.99982023,0.97186536,0.9969192,0.9929903,0.99039876
fon,0.99968773,0.97300315,0.99719113,0.9915873,0.9903673
ewe,0.99986136,0.9692133,0.9974514,0.99482286,0.99033725
lug,0.99993056,0.96915656,0.99700266,0.9951828,0.9903181
hau,0.9998945,0.96742964,0.9983036,0.9951087,0.99018407
luo,0.99989194,0.96999645,0.9977005,0.99259007,0.9900447
mos,0.9998241,0.96915406,0.99708676,0.99332273,0.98984694
kin,0.9999378,0.9693672,0.99718446,0.9928836,0.9898433
ibo,0.9998876,0.9695412,0.9966906,0.99145913,0.9893946
bbj,0.9996959,0.96832037,0.99586153,0.9922514,0.98903227
