Model,CLS,CTX,HYB,Tokens,Window,Rank,Language,MeanSim,Family
mbert,true,false,false,300,1,1,lug,0.9647,Bantu
mbert,true,false,false,300,1,2,twi,0.9593,Kwa
mbert,true,false,false,300,1,3,kin,0.9574,Bantu
mbert,true,false,false,300,1,4,luo,0.9561,Nilotic
mbert,true,false,false,300,1,5,swa,0.9557,Bantu
mbert,true,false,false,300,1,6,ibo,0.9495,Volta-Niger
mbert,true,false,false,300,1,7,ewe,0.946,Kwa
mbert,true,false,false,300,1,8,tsn,0.9408,Bantu
mbert,true,false,false,300,1,9,sna,0.9407,Bantu
mbert,true,false,false,300,1,10,zul,0.9406,Bantu
mbert,true,false,false,300,1,11,bam,0.938,Mande
mbert,true,false,false,300,1,12,hau,0.9364,Chadic
mbert,true,false,false,300,1,13,nya,0.9355,Bantu
mbert,true,false,false,300,1,14,fon,0.9343,Kwa
mbert,true,false,false,300,1,15,xho,0.9283,Bantu
mbert,true,false,false,300,1,16,wol,0.9275,Atlantic-Congo
mbert,true,false,false,300,1,17,mos,0.9224,Gur
mbert,true,false,false,300,1,18,pcm,0.9184,English Creole
mbert,true,false,false,300,1,19,bbj,0.9036,Bantu
mbert,true,false,false,300,1,20,yor,0.8824,Volta-Niger
mbert,true,false,false,300,0,1,lug,0.9647,Bantu
mbert,true,false,false,300,0,2,twi,0.9593,Kwa
mbert,true,false,false,300,0,3,kin,0.9574,Bantu
mbert,true,false,false,300,0,4,luo,0.9561,Nilotic
mbert,true,false,false,300,0,5,swa,0.9557,Bantu
mbert,true,false,false,300,0,6,ibo,0.9495,Volta-Niger
mbert,true,false,false,300,0,7,ewe,0.946,Kwa
mbert,true,false,false,300,0,8,tsn,0.9408,Bantu
mbert,true,false,false,300,0,9,sna,0.9407,Bantu
mbert,true,false,false,300,0,10,zul,0.9406,Bantu
mbert,true,false,false,300,0,11,bam,0.938,Mande
mbert,true,false,false,300,0,12,hau,0.9364,Chadic
mbert,true,false,false,300,0,13,nya,0.9355,Bantu
mbert,true,false,false,300,0,14,fon,0.9343,Kwa
mbert,true,false,false,300,0,15,xho,0.9283,Bantu
