,PER,DATE,LOC,ORG,Mean
lug,0.9979235,0.98443496,0.99480087,0.9887617,0.99148023
kin,0.99151635,0.9875663,0.99461234,0.9916482,0.99133575
nya,0.99587256,0.980171,0.99208975,0.99321103,0.9903361
sna,0.990248,0.98582506,0.9902453,0.9868659,0.98829603
luo,0.99491405,0.96930325,0.98972434,0.9843874,0.98458225
xho,0.981037,0.9886987,0.9851888,0.9832361,0.98454016
twi,0.9936619,0.97225344,0.98103243,0.98926437,0.984053
tsn,0.98840374,0.9769327,0.97863585,0.986459,0.98260784
ibo,0.99213123,0.9745199,0.98811364,0.97178334,0.98163706
zul,0.9890238,0.97235894,0.9830308,0.9821069,0.98163015
hau,0.9866638,0.97892296,0.9788647,0.9813408,0.9814481
swa,0.9931166,0.96831906,0.9795197,0.98225063,0.9808015
wol,0.9887154,0.97112185,0.9810691,0.981102,0.98050207
bam,0.98317623,0.96656847,0.98069847,0.9688396,0.97482073
ewe,0.9855047,0.9597876,0.9677011,0.97820735,0.9728002
mos,0.9864507,0.9524321,0.9657297,0.9792055,0.97095454
fon,0.9819802,0.9194672,0.94759643,0.96892416,0.954492
yor,0.96194315,0.94305533,0.9472996,0.9602522,0.95313764
pcm,0.99015987,0.89316505,0.9520032,0.96791893,0.95081174
bbj,0.9766634,0.92769665,0.89021415,0.9432966,0.93446773
