,DATE,ORG,PER,LOC,Mean
lug,0.9988839,0.999736,0.9998369,0.9998036,0.9995651
kin,0.9991085,0.9997992,0.999715,0.99910235,0.99943125
luo,0.99883324,0.9997651,0.99975014,0.9992176,0.99939156
twi,0.99899423,0.9997677,0.99951863,0.9991143,0.9993487
ibo,0.999284,0.9997425,0.99960655,0.9986265,0.9993149
swa,0.99761736,0.9997,0.99968255,0.9993207,0.9990801
wol,0.9988846,0.9995928,0.99956113,0.998058,0.99902415
nya,0.99864537,0.9998054,0.999332,0.99828804,0.9990177
tsn,0.9987132,0.99875516,0.99962723,0.99894243,0.9990095
sna,0.99900556,0.999617,0.9987439,0.9985288,0.9989738
xho,0.99937207,0.99906605,0.9994436,0.9978805,0.9989405
ewe,0.9981487,0.9996431,0.9994017,0.9985454,0.9989347
zul,0.9987017,0.9995271,0.99900454,0.9984357,0.9989173
pcm,0.99726814,0.99968314,0.99965763,0.999052,0.99891526
hau,0.99873084,0.99942183,0.99948466,0.9979778,0.99890375
mos,0.9984201,0.99957746,0.99970126,0.99769425,0.99884826
fon,0.99775517,0.9995183,0.9993917,0.99834836,0.9987533
yor,0.9988345,0.9993567,0.9988414,0.9979016,0.9987336
bam,0.9983895,0.99898094,0.99955595,0.99800515,0.99873286
bbj,0.99824995,0.99923736,0.9995638,0.99782336,0.9987186
