,DATE,PER,LOC,ORG,Mean
tsn,0.62290925,0.7821504,0.763955,0.82483566,0.74846256
hau,0.63846487,0.7453639,0.7513194,0.85645294,0.74790025
kin,0.5988597,0.78978646,0.6869554,0.8868739,0.7406189
lug,0.61546487,0.7857353,0.6740331,0.8815385,0.73919296
luo,0.6049982,0.78982556,0.6782025,0.8755974,0.7371559
swa,0.6143236,0.8187654,0.6868002,0.81791013,0.73444986
wol,0.6106884,0.7831732,0.75518835,0.78539616,0.73361146
pcm,0.6047564,0.796766,0.68886244,0.84075034,0.7327838
xho,0.7275135,0.69979507,0.8065412,0.69508505,0.7322337
ewe,0.63026017,0.77998805,0.70396423,0.80876875,0.7307453
ibo,0.5954709,0.78403103,0.68138325,0.8484105,0.7273239
twi,0.6012305,0.78259057,0.6747864,0.84753776,0.7265363
nya,0.6048422,0.740287,0.67428356,0.8859164,0.7263323
sna,0.6220581,0.71629757,0.6870793,0.87622666,0.7254154
mos,0.6097189,0.7794988,0.6914836,0.80691934,0.7219052
yor,0.61963964,0.75879014,0.6954781,0.78937495,0.71582067
zul,0.6787168,0.7180969,0.7155273,0.7214246,0.7084414
bam,0.6236937,0.7721109,0.6712631,0.7648604,0.707982
bbj,0.59678143,0.75459576,0.6547384,0.7940227,0.7000346
fon,0.5981266,0.73506546,0.7070242,0.7220626,0.69056976
