,ORG,LOC,DATE,PER,Mean
kin,0.7818222045898438,,,,0.7818222045898438
nya,0.7748692631721497,,,,0.7748692631721497
wol,0.7396911382675171,,,,0.7396911382675171
bam,0.7334796190261841,,,,0.7334796190261841
ibo,0.7111690044403076,0.7283819913864136,,,0.7197754979133606
tsn,0.7272568345069885,0.6999746561050415,,,0.713615745306015
twi,,,,0.6974899172782898,0.6974899172782898
mos,0.7495408654212952,,,0.6376146674156189,0.693577766418457
bbj,0.6917608976364136,,,,0.6917608976364136
lug,0.8361479640007019,,,0.5195946097373962,0.6778712868690491
hau,0.6871789693832397,,,0.6553996801376343,0.671289324760437
ewe,0.6925519108772278,,,0.638199508190155,0.6653757095336914
zul,,0.6525801420211792,,,0.6525801420211792
luo,0.6984918713569641,,,0.6010779142379761,0.6497848927974701
fon,,,,0.6222023367881775,0.6222023367881775
pcm,,0.6737632155418396,,0.5633559226989746,0.6185595691204071
swa,,,,0.5954342484474182,0.5954342484474182
yor,0.6823669075965881,0.5078909397125244,,,0.5951289236545563
sna,,0.7373414635658264,,0.45130854845046997,0.5943250060081482
xho,,0.6590056419372559,,0.5269683599472046,0.5929870009422302
