,ORG,DATE,PER,LOC,Mean
lug,0.6176758,0.53155524,0.43097025,0.65552545,0.55893165
kin,0.60521924,0.56376827,0.4594747,0.5775079,0.5514925
luo,0.6183942,0.5406978,0.4436329,0.58340764,0.5465331
swa,0.6192831,0.5079472,0.4468567,0.57496196,0.53726226
twi,0.61313623,0.5323977,0.4412503,0.55703896,0.5359558
ibo,0.59556115,0.5727323,0.4312137,0.53243935,0.53298664
tsn,0.61116785,0.5510052,0.45733914,0.49999198,0.52987605
nya,0.6202001,0.52458525,0.43079862,0.511663,0.5218118
sna,0.59455913,0.5929354,0.39856482,0.49248138,0.5196352
xho,0.5399169,0.62242115,0.45581287,0.4471673,0.5163296
wol,0.5933088,0.5433356,0.44931954,0.46801513,0.5134948
hau,0.57485574,0.56401366,0.4402411,0.463625,0.5106839
ewe,0.59243274,0.43495697,0.4429596,0.5680921,0.50961035
fon,0.5967896,0.50885254,0.43579942,0.49606687,0.50937706
zul,0.57943445,0.53958595,0.42328104,0.49165162,0.5084883
bam,0.5482173,0.5116414,0.42676792,0.5361866,0.50570333
pcm,0.581413,0.40519392,0.44291162,0.54794705,0.49436638
mos,0.59937716,0.46003497,0.43642598,0.47949904,0.49383432
bbj,0.53137743,0.45693028,0.44990036,0.41532546,0.46338338
yor,0.48330584,0.4927135,0.377878,0.39810047,0.43799946
