,ORG,LOC,DATE,PER,Mean
lug,0.7010964,0.7356932,0.68243206,0.6039615,0.6807958
kin,0.6998408,0.73164964,0.68177354,0.59370863,0.67674315
nya,0.7037347,0.7062671,0.6643327,0.59679794,0.6677831
sna,0.67319614,0.6887783,0.69641304,0.5944434,0.6632077
xho,0.6643884,0.6740956,0.7006857,0.57628614,0.65386397
zul,0.6587041,0.6665095,0.65422153,0.5948706,0.64357644
tsn,0.6735585,0.64642155,0.6594401,0.5797278,0.639787
luo,0.6388707,0.6739186,0.639108,0.58632386,0.63455534
hau,0.6336698,0.6306503,0.66210514,0.5871814,0.62840164
wol,0.6407576,0.6475256,0.6340189,0.5904652,0.6281918
swa,0.6374311,0.6291947,0.6255466,0.58591336,0.61952144
ibo,0.6116022,0.6555468,0.6179589,0.5880583,0.61829156
twi,0.6419692,0.6273802,0.61465645,0.5830243,0.6167575
bam,0.6050424,0.6207355,0.6397321,0.5808307,0.61158514
ewe,0.620569,0.61546934,0.61758244,0.56851965,0.6055351
mos,0.617576,0.6043851,0.60622615,0.5803919,0.6021448
yor,0.59461075,0.5796833,0.5798178,0.56380546,0.57947934
pcm,0.5858709,0.5858327,0.5521277,0.56354666,0.57184446
fon,0.5757595,0.5682471,0.5177182,0.5621392,0.55596596
bbj,0.5606984,0.52316487,0.5553274,0.5542959,0.5483717
