,ORG,DATE,LOC,PER
bam,0.9995926022529602,0.999369740486145,0.9992340803146362,0.999424934387207
bbj,0.9993510842323303,0.9986516833305359,0.9988774657249451,0.9993578791618347
ewe,0.9993541240692139,0.9986498951911926,0.9991630911827087,0.9992064237594604
fon,0.9995753169059753,0.9975942373275757,0.999133288860321,0.9986878633499146
hau,0.9997158050537109,0.999502420425415,0.9997369050979614,0.999721109867096
ibo,0.9994140267372131,0.9993767142295837,0.9994193911552429,0.999671995639801
kin,0.999657154083252,0.9991386532783508,0.9990875720977783,0.9997815489768982
lug,0.9998494386672974,0.9993672370910645,0.9995162487030029,0.999767005443573
luo,0.9992469549179077,0.9994966387748718,0.9994219541549683,0.9994025230407715
mos,0.9995732307434082,0.9990770220756531,0.9996808171272278,0.9994087219238281
nya,0.9996152520179749,0.998979926109314,0.9995481371879578,0.9996920824050903
pcm,0.998792827129364,0.9981828331947327,0.9987404942512512,0.9991626143455505
sna,0.9998278617858887,0.9990357160568237,0.999714195728302,0.9994089603424072
swa,0.9994000196456909,0.9994047284126282,0.9994467496871948,0.9992850422859192
tsn,0.9994456171989441,0.999528706073761,0.998896598815918,0.9992697834968567
twi,0.9997061491012573,0.9989436268806458,0.9993423223495483,0.9994642734527588
wol,0.9995854496955872,0.9993804097175598,0.9994264245033264,0.9990003705024719
xho,0.9997979402542114,0.9996634721755981,0.999695897102356,0.9985060691833496
yor,0.999142050743103,0.9988951683044434,0.9986820220947266,0.9988473653793335
zul,0.9998334050178528,0.9995477199554443,0.9992089867591858,0.9993503093719482
