layer,best_config,tokens,ctx_window,score_mean_over_langs
1,config_0_clsfalse_ctxfalse,500,0,0.017902455200640995
2,config_0_clsfalse_ctxfalse,500,0,0.017527178578808346
3,config_0_clsfalse_ctxfalse,400,0,0.015327920555904437
4,config_0_clsfalse_ctxfalse,500,0,0.014203441766954882
5,config_0_clsfalse_ctxfalse,500,0,0.01249334391563929
6,config_0_clsfalse_ctxfalse,500,0,0.011513295504829515
7,config_0_clsfalse_ctxfalse,500,0,0.013223467686418588
8,config_0_clsfalse_ctxfalse,500,0,0.013315422065681981
9,config_0_clsfalse_ctxfalse,500,0,0.01224374601859491
10,config_0_clsfalse_ctxfalse,500,0,0.011598602765441935
11,config_0_clsfalse_ctxfalse,500,0,0.01141644332894121
12,config_0_clsfalse_ctxfalse,500,0,0.02074776636501758
