,DATE,LOC,ORG,PER
bam,0.9994791150093079,0.9994434714317322,0.9997041821479797,0.9994190335273743
bbj,0.9998606443405151,0.99979567527771,0.999944269657135,0.9997793436050415
ewe,0.9997175335884094,0.9998284578323364,0.9998446702957153,0.9993876218795776
fon,0.9995654225349426,0.9995256662368774,0.999780535697937,0.9991840124130249
hau,0.9997856616973877,0.9998829960823059,0.9999475479125977,0.999871551990509
ibo,0.9998642206192017,0.9997889399528503,0.9997393488883972,0.9996028542518616
kin,0.999950647354126,0.9998923540115356,0.9999610185623169,0.9998953938484192
lug,0.9999691843986511,0.99995356798172,0.9999878406524658,0.9997206330299377
luo,0.9998779296875,0.9998342394828796,0.9999451637268066,0.9995914101600647
mos,0.9997174143791199,0.9998844265937805,0.9999065399169922,0.9995266795158386
nya,0.9999635219573975,0.9998418688774109,0.9999899864196777,0.999632716178894
pcm,0.9999119639396667,0.9999529123306274,0.999954879283905,0.9997337460517883
sna,0.9999619722366333,0.999980628490448,0.9999879002571106,0.9997448921203613
swa,0.999896764755249,0.9998819231987,0.9999362230300903,0.9997576475143433
tsn,0.9999354481697083,0.9998776316642761,0.9999608397483826,0.9997190237045288
twi,0.9997930526733398,0.9998328685760498,0.9998786449432373,0.9997109770774841
wol,0.9998452067375183,0.9998113512992859,0.9999203085899353,0.9995322823524475
xho,0.999958872795105,0.9999269843101501,0.9999626278877258,0.9993090033531189
yor,0.9996504783630371,0.9997950792312622,0.9998889565467834,0.9995471239089966
zul,0.9998559355735779,0.9998527765274048,0.9999582171440125,0.9995554685592651
