,PER,LOC,DATE,ORG
bam,,0.97854083776474,,0.9750123620033264
bbj,,0.9701069593429565,,0.9842100739479065
ewe,0.925454318523407,,,0.9846277236938477
fon,0.915800929069519,0.9738356471061707,,0.9801691174507141
hau,0.9231930375099182,,,0.9803223609924316
ibo,,0.9752687811851501,,0.9794988036155701
kin,,0.9214575886726379,,0.9651892781257629
lug,0.9019840359687805,,,0.9719219207763672
luo,0.9322298169136047,,,0.9633828997612
mos,0.9070984125137329,,,0.9817066192626953
nya,,0.9735495448112488,,0.9809122085571289
pcm,0.9150509238243103,0.979264497756958,,
sna,0.9208142161369324,0.982342004776001,,
swa,0.9196048974990845,0.9687320590019226,,
tsn,,0.974011242389679,,0.9767081141471863
twi,0.9267000555992126,0.9619271755218506,,0.9911646246910095
wol,,0.9723756313323975,,0.9725867509841919
xho,0.9135552048683167,0.9743321537971497,,
yor,,0.9570872187614441,,0.980755090713501
zul,,0.9732810258865356,,
