,PER,DATE,ORG,LOC
bam,0.9999992251396179,0.9999994039535522,0.9999990463256836,0.9999992847442627
bbj,0.9999992847442627,0.9999986886978149,0.9999992251396179,0.9999989867210388
ewe,0.9999989867210388,0.9999991655349731,0.9999995231628418,0.9999995827674866
fon,0.9999983906745911,0.9999980330467224,0.9999993443489075,0.9999988675117493
hau,0.9999992251396179,0.9999979734420776,0.999999463558197,0.9999987483024597
ibo,0.9999997615814209,0.9999997019767761,0.999998927116394,0.9999991059303284
kin,0.9999991655349731,0.9999995827674866,0.9999996423721313,0.999999463558197
lug,0.9999997019767761,0.999999463558197,0.9999995231628418,0.9999995231628418
luo,0.999999463558197,0.9999997019767761,0.9999993443489075,0.9999995827674866
mos,0.9999997019767761,0.9999991059303284,0.9999995827674866,0.9999992251396179
nya,0.9999996423721313,0.9999995827674866,0.9999996423721313,0.9999996423721313
pcm,0.9999992847442627,0.999998152256012,0.9999989867210388,0.9999994039535522
sna,0.9999995827674866,0.9999994039535522,0.9999998211860657,0.9999991655349731
swa,0.9999990463256836,0.9999986886978149,0.9999989867210388,0.9999993443489075
tsn,0.9999995231628418,0.999999463558197,0.9999991059303284,0.9999992847442627
twi,0.9999989867210388,0.9999985694885254,0.9999994039535522,0.999999463558197
wol,0.9999995827674866,0.999999463558197,0.9999992847442627,0.9999997019767761
xho,0.9999988079071045,0.9999997019767761,0.9999996423721313,0.9999991059303284
yor,0.9999994039535522,0.9999992847442627,0.9999996423721313,0.9999991655349731
zul,0.9999986290931702,0.9999996423721313,0.999999463558197,0.9999991655349731
