,PER,LOC,DATE,ORG,Mean
tsn,0.9976194,0.99836916,0.994926,0.9989682,0.9974707
zul,0.99868274,0.9940188,0.9989071,0.99688995,0.9971247
nya,0.99855274,0.9966571,0.99290764,0.99969095,0.9969521
ewe,0.99581355,0.99707013,0.9959737,0.9986986,0.996889
sna,0.9973947,0.9964108,0.9932965,0.99982715,0.9967323
xho,0.998455,0.9990086,0.99757135,0.9916476,0.9966706
bam,0.9962378,0.995733,0.9961996,0.9983235,0.99662346
wol,0.9956884,0.9993832,0.9910885,0.9992489,0.9963523
luo,0.9960886,0.9971645,0.9921993,0.999583,0.99625885
swa,0.9972742,0.9957144,0.9922505,0.9989267,0.9960414
hau,0.99291474,0.9970399,0.99475545,0.9993934,0.9960259
pcm,0.9966663,0.9971465,0.99078786,0.9994552,0.99601394
lug,0.99483216,0.9962515,0.9919557,0.9995442,0.9956459
yor,0.99600774,0.99472153,0.99265075,0.9987701,0.9955375
twi,0.9959783,0.9969335,0.9893941,0.99945265,0.99543965
kin,0.9953746,0.9971346,0.989416,0.99968505,0.9954026
mos,0.99607474,0.99452317,0.99171126,0.99927753,0.99539673
fon,0.9979391,0.9969666,0.989234,0.9971001,0.99530995
ibo,0.99568725,0.99478066,0.9871782,0.99943876,0.9942712
bbj,0.9933154,0.99244505,0.9877155,0.99894327,0.9931048
