,DATE,PER,ORG,LOC,Mean
lug,0.99995065,0.99999386,0.9999895,0.9999717,0.9999764
twi,0.99987274,0.9999742,0.99998164,0.999935,0.9999409
luo,0.9998209,0.99999046,0.99998975,0.9999448,0.99993646
kin,0.9998859,0.9999913,0.9999894,0.99984837,0.9999287
nya,0.9998894,0.99997926,0.9999881,0.99983716,0.99992347
tsn,0.9998208,0.99998885,0.9999755,0.999896,0.9999203
swa,0.9997919,0.99996877,0.99994516,0.99996907,0.9999187
wol,0.99980825,0.99998015,0.9999825,0.9998865,0.99991435
mos,0.99984014,0.9999879,0.99997485,0.9998526,0.99991393
bam,0.99983495,0.99998087,0.99994177,0.9998899,0.99991184
zul,0.9998856,0.9999502,0.99998814,0.999819,0.9999107
sna,0.9997347,0.9999382,0.9999922,0.9999035,0.9998921
xho,0.99979883,0.99997425,0.99998164,0.9997005,0.9998638
ibo,0.9996571,0.9999822,0.9999063,0.9998883,0.9998585
yor,0.99968916,0.9999348,0.9999448,0.9997806,0.9998374
ewe,0.9996807,0.99980354,0.99998456,0.9998614,0.9998326
bbj,0.99948174,0.9999836,0.99995154,0.9997611,0.9997945
pcm,0.9998393,0.9996707,0.99995005,0.99966115,0.99978036
fon,0.99987066,0.9999741,0.9999681,0.9986692,0.9996205
hau,0.99281234,0.9999202,0.99807227,0.9916819,0.9956216
