,ORG,PER,DATE,LOC,Mean
lug,0.95957404,0.6742095,0.9177847,0.9642013,0.8789424
kin,0.92741466,0.66827404,0.90780884,0.93997425,0.860868
nya,0.9081371,0.6954056,0.90484,0.90451634,0.85322475
xho,0.9134158,0.63168204,0.93152595,0.9170137,0.84840935
sna,0.90079486,0.65092003,0.9209249,0.9084997,0.8452849
zul,0.8856931,0.6750126,0.8791992,0.91081536,0.8376801
luo,0.883029,0.6550983,0.8714619,0.8918507,0.82536
tsn,0.8813758,0.64713585,0.86748147,0.85842896,0.81360555
wol,0.8676287,0.6423094,0.83617973,0.8645092,0.80265677
hau,0.8311497,0.6347633,0.8840986,0.85592204,0.8014834
ibo,0.8225684,0.60121334,0.84827244,0.8795915,0.7879114
bam,0.80740815,0.5842713,0.8601532,0.83327484,0.7712769
twi,0.8344346,0.57829183,0.80115163,0.8282623,0.7605351
swa,0.7899686,0.62049276,0.81007063,0.78708833,0.7519051
mos,0.82329816,0.57745725,0.79832214,0.7823322,0.74535245
ewe,0.8087114,0.5391036,0.78105855,0.7791563,0.7270075
pcm,0.76739067,0.54948163,0.71882224,0.7591039,0.6986996
fon,0.75807303,0.51310074,0.68541855,0.75316024,0.67743814
yor,0.68227017,0.4974547,0.7360656,0.71968937,0.65887
bbj,0.6751395,0.5296999,0.6889585,0.6748551,0.6421633
