,LOC,DATE,PER,ORG,Mean
lug,0.6903988,0.59561014,0.57023853,0.64363354,0.62497026
twi,0.5970559,0.6205466,0.564986,0.6671026,0.61242276
luo,0.58749396,0.6365887,0.5505557,0.6712677,0.61147654
kin,0.5882956,0.6335833,0.56014544,0.653041,0.6087663
swa,0.5995106,0.6051112,0.55468637,0.6692846,0.6071482
sna,0.51202095,0.66027594,0.56082314,0.6627367,0.59896415
ibo,0.5602156,0.6434789,0.5602118,0.6315964,0.59887564
tsn,0.523137,0.629758,0.56078225,0.66075927,0.5936091
xho,0.470196,0.71735275,0.59979004,0.58571386,0.59326315
zul,0.50958335,0.64181924,0.5906295,0.6194128,0.59036124
ewe,0.572626,0.5594526,0.57781917,0.64833975,0.5895594
hau,0.49388304,0.65492773,0.5876148,0.6101836,0.5866523
nya,0.5368558,0.5854638,0.5463608,0.66070014,0.5823451
fon,0.50974846,0.58797383,0.58148426,0.63575923,0.57874143
bam,0.5339095,0.6069602,0.5701436,0.58867025,0.5749209
wol,0.4804357,0.61908597,0.5881134,0.6020052,0.57241005
pcm,0.5879305,0.4767111,0.5752448,0.63059455,0.5676202
mos,0.5063279,0.5531915,0.57133955,0.6210182,0.56296927
bbj,0.46897644,0.547645,0.5711644,0.5917075,0.5448733
yor,0.4567366,0.5802912,0.50959975,0.57513905,0.53044164
