,ORG,DATE,PER,LOC
bam,0.9999924302101135,0.9999961256980896,0.9999984502792358,0.9999967217445374
bbj,0.9999980926513672,0.9999945759773254,0.9999966025352478,0.9999933838844299
ewe,0.9999945759773254,0.9999926686286926,0.9999975562095642,0.9999948740005493
fon,0.9999969005584717,0.9999925494194031,0.9999974370002747,0.999998152256012
hau,0.9999932646751404,0.999993085861206,0.9999977350234985,0.9999969005584717
ibo,0.9999957084655762,0.9999976754188538,0.9999933242797852,0.9999984502792358
kin,0.9999974370002747,0.9999960064888,0.9999933838844299,0.9999980926513672
lug,0.999998927116394,0.9999979138374329,0.9999938607215881,0.9999975562095642
luo,0.9999960064888,0.999997079372406,0.9999944567680359,0.9999974966049194
mos,0.9999982714653015,0.9999945163726807,0.9999987483024597,0.9999977350234985
nya,0.9999972581863403,0.9999968409538269,0.9999964237213135,0.999998927116394
pcm,0.9999902248382568,0.9999768137931824,0.9999973177909851,0.999994158744812
sna,0.9999979138374329,0.9999967217445374,0.9999963045120239,0.9999986886978149
swa,0.9999892115592957,0.9999822378158569,0.9999963045120239,0.9999948143959045
tsn,0.9999956488609314,0.9999963045120239,0.9999979734420776,0.9999977350234985
twi,0.9999969601631165,0.9999940395355225,0.9999983310699463,0.9999903440475464
wol,0.9999949336051941,0.9999940395355225,0.9999952912330627,0.9999931454658508
xho,0.9999974966049194,0.999995768070221,0.9999954104423523,0.9999986886978149
yor,0.9999959468841553,0.9999958872795105,0.9999948143959045,0.9999967217445374
zul,0.9999986886978149,0.9999961853027344,0.9999966025352478,0.9999969601631165
