,1,2,3,4,5,6,7,8,9,10,11,12
twi,0.8973783254623413,0.9054132103919983,0.937306597828865,0.9536934792995453,0.9655780792236328,0.97370745241642,0.9646532535552979,0.9634711146354675,0.9713769257068634,0.9839564363161722,0.9846129218737284,0.9320494333902994
lug,0.9048918932676315,0.901278018951416,0.9304630011320114,0.9430271536111832,0.9555583000183105,0.9603591114282608,0.9496571719646454,0.9466544687747955,0.957539826631546,0.9794037342071533,0.9790577491124471,0.92487766345342
luo,0.8919459581375122,0.9022146463394165,0.9382700175046921,0.9538787603378296,0.96720290184021,0.9748615026473999,0.9624817967414856,0.9583969563245773,0.9696081876754761,0.9793279767036438,0.9803465803464254,0.9107582767804464
kin,0.911890059709549,0.9191264361143112,0.9496127218008041,0.9608025699853897,0.970945805311203,0.9747195839881897,0.9621790051460266,0.9579551666975021,0.9691263437271118,0.9775005578994751,0.9776025215784708,0.9059608976046244
swa,0.8840156495571136,0.8867875635623932,0.9259322881698608,0.9403053522109985,0.9517275243997574,0.9587464332580566,0.9445389658212662,0.9414446651935577,0.9548847079277039,0.9769540826479594,0.9751554330190023,0.8919878403345743
ewe,0.8282508105039597,0.8268089443445206,0.8816224783658981,0.8963853120803833,0.9156859517097473,0.9319759458303452,0.9155992567539215,0.9152411669492722,0.9291178584098816,0.9700700044631958,0.9715235034624735,0.8907049298286438
pcm,0.8271399289369583,0.8317775130271912,0.8900703936815262,0.9099069088697433,0.9293999075889587,0.9396785795688629,0.9189219325780869,0.9144016802310944,0.9315000772476196,0.9696314930915833,0.9718546470006307,0.8877620100975037
ibo,0.8936763256788254,0.9007437229156494,0.9277529418468475,0.9368548095226288,0.9530070573091507,0.9625938981771469,0.9457256644964218,0.9438745826482773,0.9593068808317184,0.9612651069959005,0.9660483797391256,0.8680590192476908
tsn,0.8787560015916824,0.8851572126150131,0.9221845716238022,0.9406948536634445,0.9553175419569016,0.9659198969602585,0.9546883404254913,0.9519234299659729,0.9600104242563248,0.9651253422101339,0.9659935633341471,0.8523122469584147
nya,0.88739413022995,0.8989352583885193,0.9333977252244949,0.9479444921016693,0.9603393375873566,0.9664970636367798,0.955069050192833,0.9530709683895111,0.95295350253582,0.9596027930577596,0.9630818764368693,0.8518246213595072
hau,0.8436392843723297,0.8578125834465027,0.9118098169565201,0.9315546452999115,0.9502366781234741,0.9596438407897949,0.9420991986989975,0.937335342168808,0.9529100507497787,0.9547636310259501,0.9590711196263632,0.8437190651893616
bam,0.819766953587532,0.8354627192020416,0.8949317634105682,0.9207119792699814,0.9426492601633072,0.9550117701292038,0.9343786835670471,0.9198417812585831,0.944706067442894,0.9523646632830302,0.9567716320355734,0.8403315941492716
wol,0.8501734584569931,0.8598089516162872,0.9119053333997726,0.9303363114595413,0.9469273835420609,0.9564304351806641,0.9410491436719894,0.9347048401832581,0.950404092669487,0.9542890985806783,0.9572190046310425,0.8295636177062988
zul,0.8579572588205338,0.8689065426588058,0.9167061150074005,0.9324513375759125,0.9487958252429962,0.9574215710163116,0.9450144916772842,0.9392494857311249,0.955610379576683,0.9608982602755228,0.9612732330958048,0.8293530543645223
fon,0.795833945274353,0.8119950294494629,0.8847233653068542,0.9068054109811783,0.9297916293144226,0.9402019083499908,0.9221068024635315,0.9174585938453674,0.9385667890310287,0.9507319529851278,0.9564809401830038,0.8289800484975179
mos,0.7825865596532822,0.7984112799167633,0.8685953468084335,0.892308235168457,0.9231005311012268,0.9363638311624527,0.915376827120781,0.909462183713913,0.9320166110992432,0.9544994235038757,0.9577132860819498,0.8262789050738016
sna,0.8753975927829742,0.8848356604576111,0.926569402217865,0.9419823586940765,0.9556054174900055,0.9561343044042587,0.9445938020944595,0.9413705617189407,0.9549354910850525,0.9557847380638123,0.9592721064885458,0.8203286329905192
bbj,0.7463476806879044,0.7687152773141861,0.8504146337509155,0.8784725368022919,0.9087324142456055,0.9202508330345154,0.8968721628189087,0.8961304873228073,0.9251987189054489,0.948946495850881,0.948884109656016,0.8074959913889567
yor,0.7044723033905029,0.7299752682447433,0.8233877569437027,0.8569143563508987,0.8922567218542099,0.9102519303560257,0.882951557636261,0.8789114058017731,0.9155119359493256,0.9311378598213196,0.9370020031929016,0.7486180464426676
xho,0.8373778909444809,0.8479894548654556,0.9006155580282211,0.9156161397695541,0.9336699396371841,0.9435611367225647,0.9299223721027374,0.9228814542293549,0.9435183852910995,0.9339998563130697,0.9386127591133118,0.7449628114700317
