Language,Cosine_Similarity
lug,0.96136737
kin,0.943612
twi,0.9400675
swa,0.9356079
ewe,0.9268219
luo,0.926811
bam,0.91948307
ibo,0.9139651
nya,0.91240716
pcm,0.9101081
tsn,0.9074044
mos,0.8741847
hau,0.87290776
zul,0.867524
sna,0.8609749
wol,0.85293114
xho,0.85203826
fon,0.8351051
bbj,0.8164049
yor,0.75385046
