,DATE,LOC,ORG,PER
bam,,0.9742743968963623,0.9650048017501831,
bbj,,0.9444887042045593,0.9755825400352478,
ewe,,,0.9770467281341553,0.9823263883590698
fon,,0.9613512754440308,0.9797085523605347,0.9811927080154419
hau,,,0.9771519303321838,0.9821262955665588
ibo,,0.9522076845169067,0.9749288558959961,
kin,,0.8854390978813171,0.9661108255386353,
lug,,,0.9726988673210144,0.9811112284660339
luo,,,0.964087963104248,0.9688114523887634
mos,,,0.9795740842819214,0.9794353246688843
nya,,0.9708101153373718,0.9770493507385254,
pcm,,0.9603672623634338,,0.9737333655357361
sna,,0.9678265452384949,,0.9784079194068909
swa,,0.9582917094230652,,0.9845088124275208
tsn,,0.9644372463226318,0.979461669921875,
twi,,0.9585710763931274,0.9871262311935425,0.9885923266410828
wol,,0.9614753127098083,0.9771969318389893,
xho,,0.9600909352302551,,0.9680309891700745
yor,,0.9312750697135925,0.9791421890258789,
zul,,0.9624282121658325,,
