,DATE,ORG,LOC,PER
bam,,0.9969928860664368,,
bbj,,0.9976602792739868,,
ewe,,0.9982699155807495,,0.9948859810829163
fon,,,,0.9948952794075012
hau,,0.9897409677505493,,0.9944964051246643
ibo,,0.9982848167419434,0.996487021446228,
kin,,0.9977666139602661,,
lug,,0.9973680973052979,,0.9923285841941833
luo,,0.9971648454666138,,0.9935353994369507
mos,,0.9985528588294983,,0.9946087598800659
nya,,0.99834144115448,,
pcm,,,0.9972543716430664,0.9937645196914673
sna,,,0.9976916313171387,0.9910435080528259
swa,,,,0.993971049785614
tsn,,0.9982070326805115,0.9972819685935974,
twi,,,,0.9954017996788025
wol,,0.9983539581298828,,
xho,,,0.9972068071365356,0.993563175201416
yor,,0.9982374906539917,0.9946228265762329,
zul,,,0.9969610571861267,
