,LOC,DATE,ORG,PER
bam,0.982756495475769,0.9828367233276367,0.9792910814285278,0.9866136908531189
bbj,0.961194634437561,0.9683728218078613,0.9695797562599182,0.9787309169769287
ewe,0.9888230562210083,0.980860710144043,0.9874982833862305,0.9896636009216309
fon,0.9789676666259766,0.9647421836853027,0.9748687148094177,0.9812790751457214
hau,0.9890382885932922,0.9880321621894836,0.9909234642982483,0.9939822554588318
ibo,0.9891176223754883,0.9896816611289978,0.9892529249191284,0.9953743815422058
kin,0.9943233132362366,0.9863356351852417,0.9936689138412476,0.9971975088119507
lug,0.98976731300354,0.9857943058013916,0.9962361454963684,0.9981629252433777
luo,0.9918739795684814,0.9913005232810974,0.992379367351532,0.9919900894165039
mos,0.9907628297805786,0.9688100218772888,0.986638069152832,0.9929885864257812
nya,0.9919887185096741,0.986257791519165,0.9959933757781982,0.9970177412033081
pcm,0.9836200475692749,0.9691168665885925,0.9818463921546936,0.9872773885726929
sna,0.9955298900604248,0.9744575023651123,0.9930601716041565,0.9968510270118713
swa,0.9689375162124634,0.980689287185669,0.980279266834259,0.9794213771820068
tsn,0.9849146604537964,0.9893965721130371,0.9894506931304932,0.9953194856643677
twi,0.9892268776893616,0.9787063002586365,0.9867406487464905,0.990506649017334
wol,0.9852011203765869,0.9818110466003418,0.9886661171913147,0.9937494397163391
xho,0.9913936853408813,0.9926652908325195,0.9913416504859924,0.9894648194313049
yor,0.9653072357177734,0.9739289283752441,0.9801629781723022,0.9741027355194092
zul,0.9819619655609131,0.9878663420677185,0.9932970404624939,0.9939101934432983
