,PER,LOC,ORG,DATE,Mean
nya,0.939300394882376,0.9877044747580466,0.9850865360938483,0.9863353055448186,0.9746066778197724
kin,0.9358146767537763,0.9880784163477968,0.9841788728003822,0.9902160081502597,0.9745719935130538
sna,0.9330117207480668,0.9849307010411005,0.9849321871996527,0.9894256748795882,0.9730750709671021
lug,0.9379641755549638,0.9827234388162341,0.9756324720358056,0.9866501606390181,0.9707425617615054
twi,0.9349857329785638,0.9812210149238182,0.9815681127896329,0.9754937160420848,0.968317144183525
luo,0.9313923368037412,0.9809969580412039,0.9785503506458398,0.9795669504647152,0.967626648988875
hau,0.93140992143668,0.975146521045755,0.9793671606025852,0.9840655322264601,0.96749728382787
xho,0.9193888586843192,0.9778845204389005,0.9750091613927588,0.9917791417906966,0.9660154205766688
zul,0.9320545713093961,0.9719233375216779,0.9742716887090446,0.981664537244594,0.9649785336961781
swa,0.9358866548842458,0.9737084862400244,0.9734597529873407,0.9730208095634696,0.9640189259187701
tsn,0.9257732335638706,0.9686330144271498,0.975550849458102,0.9854554601866795,0.9638531394089505
wol,0.9303422294473942,0.9728817009348941,0.9755270518254805,0.9760685667028659,0.9637048872276586
ibo,0.9308846621811641,0.9809084897891471,0.9432604201449662,0.9814778430756852,0.9591328537977407
bam,0.9189853006957353,0.9738900819543552,0.9603103662864513,0.978405323101083,0.9578977680094061
mos,0.9124256141904928,0.9678108128492642,0.9754750194897658,0.9649458231504859,0.9551643174200022
ewe,0.9141082794781655,0.9546405130164054,0.9684468168723124,0.9605851815508603,0.9494451977294359
yor,0.9232266958492463,0.9470547687635334,0.9658627582957516,0.9521906782679938,0.9470837252941312
pcm,0.9293053942713415,0.9475365745878225,0.949908606939305,0.8851144227975255,0.9279662496489987
fon,0.9087621722903652,0.9449059291368158,0.9398040133525093,0.8963825509721842,0.9224636664379686
bbj,0.9177974684016246,0.9013124276769585,0.9165592544790306,0.9331943719549457,0.9172158806281399
