,DATE,PER,ORG,LOC,Mean
zul,0.9976788,0.9983223,0.997124,0.99873215,0.9979643
hau,0.99404174,0.9986474,0.9997473,0.9974101,0.9974616
xho,0.9986243,0.99686426,0.9949153,0.999438,0.9974605
ewe,0.9932346,0.9990607,0.9994985,0.99756855,0.99734056
tsn,0.99027,0.9992403,0.999171,0.9990171,0.99692464
sna,0.990705,0.9981005,0.999883,0.99665886,0.9963368
yor,0.9902037,0.9988081,0.999246,0.99604833,0.9960766
bam,0.99081254,0.99905896,0.9985362,0.99540436,0.99595296
swa,0.98904175,0.99946374,0.9994607,0.9954503,0.9958541
wol,0.98535794,0.999082,0.99944425,0.9991178,0.99575055
pcm,0.98881197,0.9993479,0.99962246,0.9951001,0.9957206
lug,0.98731524,0.9991932,0.9998288,0.9964023,0.99568486
twi,0.98645335,0.9992433,0.9997083,0.9964103,0.99545383
kin,0.98437697,0.99930084,0.99967206,0.998272,0.99540544
ibo,0.98424655,0.9991913,0.99971205,0.9969246,0.9950186
mos,0.98582226,0.9991005,0.99951935,0.99547315,0.99497885
bbj,0.9853939,0.998874,0.99919176,0.99605733,0.99487925
luo,0.98513293,0.9992753,0.999686,0.9951874,0.99482036
nya,0.9854489,0.997687,0.99989307,0.9959175,0.9947366
fon,0.98370516,0.9976919,0.99828273,0.9964239,0.99402595
