,PER,ORG,DATE,LOC,Mean
lug,0.969321,0.9602897,0.92006475,0.93806016,0.94693387
luo,0.96222436,0.9604218,0.86828816,0.9176388,0.9271433
kin,0.96351564,0.96011615,0.888872,0.87699485,0.92237467
twi,0.9405234,0.9487363,0.8805892,0.9119257,0.92044365
nya,0.9460901,0.957868,0.8900653,0.873647,0.9169176
tsn,0.95934725,0.942006,0.8683374,0.89359045,0.91582024
mos,0.9576659,0.941229,0.8735347,0.87828374,0.9126783
wol,0.9462687,0.9499917,0.86524427,0.8890046,0.91262734
swa,0.9351219,0.91794485,0.86109495,0.9357407,0.9124756
zul,0.92122364,0.9579353,0.88841766,0.86853427,0.90902776
bam,0.94813836,0.9158787,0.872376,0.8898851,0.90656954
sna,0.9137906,0.9653238,0.8488329,0.89672816,0.9061688
xho,0.9407341,0.9488758,0.86305016,0.842732,0.898848
ibo,0.94950396,0.89798605,0.83523816,0.89026606,0.89324856
bbj,0.95156485,0.9222015,0.8119916,0.854683,0.88511026
ewe,0.86427027,0.9527873,0.83889484,0.88111657,0.8842673
yor,0.91124463,0.91781914,0.8406186,0.8590425,0.8821813
fon,0.9405024,0.9348711,0.8843883,0.7537067,0.8783671
pcm,0.8372386,0.92112714,0.87321985,0.83597225,0.8668895
hau,0.9040985,0.726319,0.65086347,0.63938,0.73016524
