,ORG,LOC,PER,DATE,Mean
kin,0.9993037,0.99877405,0.9945308,0.99927706,0.9979714
lug,0.99934816,0.9985011,0.99462086,0.99921495,0.9979212
nya,0.999309,0.99840635,0.99433905,0.99890685,0.9977403
luo,0.99889827,0.9983404,0.99452597,0.9990486,0.9977033
sna,0.99911857,0.99870336,0.99346685,0.99916416,0.9976132
tsn,0.99903035,0.9977833,0.9943965,0.99906516,0.99756885
twi,0.99889547,0.9978209,0.9945067,0.9985966,0.99745494
wol,0.9987436,0.9984086,0.9935554,0.9990834,0.9974477
swa,0.9985928,0.9979246,0.99526775,0.99783635,0.99740535
ibo,0.9984779,0.9981988,0.9938533,0.99903506,0.9973913
xho,0.99876714,0.9982917,0.9939801,0.99847364,0.9973782
ewe,0.9987593,0.997651,0.9944159,0.9983062,0.9972831
zul,0.99877477,0.9978929,0.99382627,0.9986051,0.9972747
pcm,0.99874616,0.9981291,0.9947182,0.997256,0.99721235
mos,0.9986945,0.99773914,0.9941063,0.9980584,0.9971496
hau,0.99852526,0.9979152,0.9945353,0.99718785,0.9970409
bam,0.997935,0.9980082,0.9936611,0.9982641,0.9969671
yor,0.9978492,0.997244,0.99362,0.99830014,0.99675333
fon,0.9984442,0.9971672,0.99406165,0.9966706,0.99658597
bbj,0.99756265,0.99693453,0.99393445,0.9974269,0.99646467
