,ORG,PER,LOC,DATE,Mean
lug,0.7047633,0.60677576,0.75104773,0.6744026,0.6842474
kin,0.6826071,0.59346926,0.7295406,0.68453395,0.6725377
nya,0.69105273,0.59730154,0.70401293,0.66548145,0.6644622
sna,0.6739447,0.59470254,0.6930146,0.6918361,0.6633745
xho,0.6681015,0.5704452,0.67570513,0.6978909,0.65303564
tsn,0.67104775,0.5819434,0.64995813,0.66012985,0.6407698
zul,0.6506387,0.594918,0.66274226,0.6496458,0.6394862
luo,0.6413351,0.58738774,0.6782052,0.64124465,0.6370432
hau,0.6335777,0.5882734,0.6310161,0.66290975,0.6289442
wol,0.64426374,0.5899728,0.6460382,0.63501287,0.62882185
swa,0.6405358,0.58360285,0.632894,0.63060796,0.6219101
ibo,0.61140686,0.586372,0.6565896,0.6161552,0.61763096
twi,0.6450578,0.5826355,0.6239872,0.60672796,0.6146021
bam,0.6029557,0.58056563,0.6186496,0.6399987,0.6105424
ewe,0.62332433,0.57023674,0.6147717,0.6131154,0.60536206
mos,0.6250684,0.58075666,0.5919032,0.60673946,0.60111696
yor,0.59212303,0.5639299,0.58151555,0.5785737,0.5790355
pcm,0.5812475,0.56214535,0.58236635,0.5562675,0.5705067
fon,0.5787658,0.5617366,0.5681353,0.5213664,0.557501
bbj,0.55782455,0.553801,0.5156523,0.5560685,0.54583657
