,DATE,LOC,PER,ORG,Mean
kin,0.57370704,0.53784823,0.38596252,0.58826244,0.52144504
lug,0.5613036,0.5323057,0.37582952,0.58663166,0.5140176
sna,0.5851012,0.52564067,0.34154785,0.56900954,0.50532484
xho,0.5886821,0.5142747,0.3512346,0.5511574,0.50133723
nya,0.5418154,0.4851753,0.3800231,0.5862114,0.49830627
luo,0.5121021,0.5191698,0.3681296,0.54000676,0.48485208
zul,0.5305533,0.49591482,0.3682518,0.54265153,0.48434284
twi,0.5096036,0.5022794,0.36071703,0.548605,0.48030126
wol,0.50530326,0.49704266,0.3727555,0.5352954,0.4775992
tsn,0.52581346,0.4572785,0.36610574,0.5487413,0.47448474
ibo,0.528787,0.5198788,0.3384735,0.5026272,0.4724416
swa,0.5037352,0.47776216,0.37771997,0.52658457,0.47145045
hau,0.5192915,0.46385378,0.36191744,0.51965296,0.46617892
bam,0.48957914,0.50093365,0.33346203,0.48965228,0.45340678
ewe,0.46178,0.44897532,0.32338527,0.5035977,0.4344346
pcm,0.39478528,0.46558785,0.36331806,0.5139234,0.43440366
mos,0.42438966,0.46164915,0.32130137,0.5071137,0.42861345
fon,0.41825384,0.43827125,0.32770428,0.49363756,0.41946673
bbj,0.4171106,0.39696223,0.33878848,0.43293232,0.39644843
yor,0.44648722,0.40302578,0.30624887,0.41994202,0.39392596
