,LOC,PER,DATE,ORG,Mean
lug,0.65645427,0.6802007,0.5689703,0.64274335,0.6370921
kin,0.608716,0.62345517,0.5717114,0.61681753,0.605175
nya,0.56176305,0.6113491,0.5427671,0.59420407,0.57752085
xho,0.5669107,0.5420526,0.58469313,0.5910632,0.5711799
sna,0.569722,0.5599251,0.5692536,0.58407134,0.570743
luo,0.56412804,0.6103321,0.5287455,0.5789759,0.5705454
zul,0.56090707,0.5753837,0.51688427,0.5711622,0.55608433
tsn,0.5163771,0.585026,0.5260571,0.5789032,0.55159086
wol,0.5280988,0.5721286,0.50770485,0.56134623,0.5423196
hau,0.5177003,0.55272955,0.53184396,0.53213584,0.53360236
ibo,0.5281048,0.54760087,0.51508456,0.5236491,0.5286099
twi,0.50561476,0.5889063,0.48268506,0.5364631,0.5284173
swa,0.50348055,0.58093286,0.49202767,0.5104843,0.5217313
bam,0.5161506,0.5505301,0.5144546,0.5044693,0.52140117
mos,0.4925316,0.5197078,0.4705879,0.5212658,0.5010233
ewe,0.48542523,0.5298043,0.45729023,0.50857484,0.49527362
pcm,0.4736815,0.5549366,0.41864526,0.4952417,0.48562628
fon,0.46750727,0.50783974,0.40999043,0.48362598,0.46724087
yor,0.43202874,0.4520604,0.42840493,0.43543583,0.43698245
bbj,0.41203257,0.48294696,0.40350714,0.41569707,0.42854595
