,PER,ORG,DATE,LOC
bam,,0.9357010722160339,,0.951305627822876
bbj,0.9716881513595581,0.9645258784294128,,0.872336208820343
ewe,0.9741365909576416,0.9669791460037231,,
fon,0.9683788418769836,0.975151777267456,,0.9242294430732727
hau,0.9813860654830933,0.9726741909980774,,0.9085912704467773
ibo,,0.9750847816467285,,0.9267088174819946
kin,0.980334997177124,0.9743893146514893,,0.9304802417755127
lug,0.9701130986213684,0.9676612019538879,,
luo,0.9824082851409912,0.9590884447097778,,
mos,0.9636804461479187,0.9726090431213379,,0.9029786586761475
nya,0.9888335466384888,0.97225421667099,,0.9171800017356873
pcm,0.9860806465148926,0.8991291522979736,,0.9621267318725586
sna,0.9783461689949036,0.9553723335266113,,0.9154269099235535
swa,0.9792075753211975,0.9585575461387634,,0.9659551978111267
tsn,,0.9689484238624573,,0.9188511371612549
twi,0.9867468476295471,0.9809650182723999,,0.9619211554527283
wol,0.9818270802497864,0.9567561149597168,,0.9077321887016296
xho,0.9408206939697266,,,0.8945668339729309
yor,,0.965368390083313,,0.8255125880241394
zul,0.9694043397903442,,,0.8996894955635071
