,PER,ORG,DATE,LOC,Mean
lug,0.96462476,0.8855146,0.72254694,0.79637843,0.84226614
kin,0.92511964,0.9312384,0.69552463,0.8097793,0.8404155
swa,0.87511694,0.8867599,0.75034904,0.81974447,0.83299255
wol,0.9078009,0.8665962,0.68603027,0.8569213,0.8293371
hau,0.89603126,0.8983116,0.72333,0.7873528,0.82625645
sna,0.8498169,0.9210075,0.7451453,0.7865008,0.8256177
ibo,0.9340561,0.8942354,0.68203217,0.7787434,0.8222667
ewe,0.9019499,0.8920238,0.7159575,0.77405775,0.82099724
pcm,0.8639779,0.8928604,0.72281283,0.7988335,0.8196212
luo,0.91214573,0.9048828,0.68232256,0.7752662,0.8186543
tsn,0.8477065,0.8527335,0.723197,0.8127594,0.8090991
mos,0.8996347,0.872556,0.69313455,0.7635379,0.8072158
twi,0.8535651,0.8768188,0.69580495,0.78520334,0.8028481
xho,0.783825,0.73065066,0.8373934,0.85499746,0.8017166
nya,0.77985,0.9273411,0.70834714,0.77615917,0.7979244
bbj,0.8912276,0.84607893,0.6939842,0.757547,0.7972095
zul,0.74229896,0.83288056,0.82531846,0.7726567,0.79328865
bam,0.89623743,0.7963623,0.70674443,0.7554212,0.78869134
fon,0.84546536,0.8503946,0.68032956,0.75806296,0.78356314
yor,0.78560424,0.82804394,0.7212806,0.7863538,0.78032064
