,DATE,ORG,PER,LOC,Mean
xho,0.9841368794441223,0.9829613566398621,0.9235367178916931,0.9865372776985168,0.9833489270771251
kin,0.9728917479515076,0.9861335158348083,0.9522184729576111,0.9837684035301208,0.9803682273509455
sna,0.9666078090667725,0.9853262305259705,0.9475165605545044,0.9905205368995667,0.9801652189952875
zul,0.9776344299316406,0.9897044897079468,0.9527516961097717,0.9687772989273071,0.9781965099129022
hau,0.9785062670707703,0.9743155837059021,0.9515900015830994,0.979526162147522,0.9769422918363334
ibo,0.9755755662918091,0.9716139435768127,0.9473667144775391,0.985202431678772,0.9768738380444595
nya,0.9725067019462585,0.9835878610610962,0.9582266807556152,0.9720457792282104,0.9756973670199026
twi,0.9619061946868896,0.981931746006012,0.9530178904533386,0.9845722913742065,0.9756834331680747
lug,0.9690378308296204,0.9881588816642761,0.9513954520225525,0.9703375101089478,0.9753653430471233
mos,0.9585848450660706,0.9815375208854675,0.9504015445709229,0.9837498068809509,0.974149106374753
luo,0.9728189706802368,0.9715927839279175,0.9491493701934814,0.9755496978759766,0.9728465407502418
wol,0.9613706469535828,0.9714497327804565,0.9556082487106323,0.9817568063735962,0.9712136212517234
bam,0.9625273942947388,0.9588179588317871,0.9383618831634521,0.9776937961578369,0.9657976674098595
tsn,0.9798666834831238,0.9592326879501343,0.9437500238418579,0.9558568596839905,0.964569030244366
swa,0.9657761454582214,0.9688961505889893,0.9511054158210754,0.959774374961853,0.964546730705336
ewe,0.9526787996292114,0.9783671498298645,0.9475060701370239,0.957392156124115,0.9625125718272589
bbj,0.9630072712898254,0.970809817314148,0.9473036527633667,0.9535394906997681,0.9621551628985436
yor,0.9602578282356262,0.9719487428665161,0.943033754825592,0.9545966982841492,0.9618906191751069
fon,0.9269547462463379,0.9700336456298828,0.9295183420181274,0.9737469553947449,0.9563746561411939
pcm,0.916532576084137,0.9532843232154846,0.9435529112815857,0.957740068435669,0.9425392622262044
