language,sim,f1
bam,0.8029550685469663,0.277
bbj,0.7086833868923007,0.025
ewe,0.6739548325214897,0.441
fon,0.7454128010052141,0.204
hau,0.6974858324629157,0.336
ibo,0.7548294124240684,0.269
kin,0.8455943246644709,0.557
lug,0.8124999999999999,0.495
luo,0.7364853795464746,0.414
mos,0.7556096518348253,0.263
pcm,0.8029550685469663,0.143
nya,0.8558443270800606,0.447
sna,0.8000000000000004,0.352
swa,0.8558443270800606,0.341
tsn,0.87287156094397,0.241
twi,0.7846715615207801,0.377
wol,0.6662522386112822,0.45
xho,0.7642171012073582,0.309
yor,0.7470178808339963,0.247
zul,0.7742781018131457,0.371
